step,mujoco,brax
0.0,-22.861001152889592,935.0800377759707
30303.030303030304,258.95328852341163,1742.2416620665185
60606.06060606061,313.55608157593804,1524.2174550656805
90909.09090909091,392.9810370181287,1621.0971004968733
121212.12121212122,637.6293084204104,1822.6759251543062
151515.15151515152,685.8446076161752,1876.771671321995
181818.18181818182,583.0151632367161,2135.3739946653936
212121.21212121213,450.74601111762377,2093.7983798777323
242424.24242424243,366.39777966915153,2620.835584849879
272727.2727272727,1029.8986535566812,2310.1750070249923
303030.30303030304,1175.9250321204465,2614.889153565163
333333.3333333334,857.8728420286961,2153.1729827743197
363636.36363636365,683.3770072572206,2914.7339982914173
393939.3939393939,319.7801269452569,2590.9861135285164
424242.42424242425,755.3969111112857,2842.6582858481743
454545.4545454546,641.0086123150652,2864.2638590721526
484848.48484848486,982.7656723201993,3197.8867451012484
515151.51515151514,774.8317537432188,3231.9622167365737
545454.5454545454,880.6838610069451,3085.7428032332186
575757.5757575758,625.9584898541364,3427.9330131307393
606060.6060606061,1514.4607505992508,3146.0176518879207
636363.6363636364,1308.7789618285908,2999.835058326823
666666.6666666667,1527.9809411799831,3466.098951373549
696969.696969697,915.0787037147431,3298.7995552767575
727272.7272727273,961.0815002239592,3351.1265928561124
757575.7575757576,751.363670904085,3973.503814351404
787878.7878787878,953.6733214281464,3393.8758530583095
818181.8181818182,610.1731958741503,3596.553261260526
848484.8484848485,1207.4004915363726,3684.467157896854
878787.8787878788,1511.6433255326206,3635.5616319029195
909090.9090909092,1554.4492301082983,3654.7659852258603
939393.9393939395,744.765459970236,3718.5381017466657
969696.9696969697,1534.7826158217072,3612.2376128113697
1000000.0,1222.7610601285578,3920.150399339935
1030303.0303030303,1220.1216201435584,3633.901259330163
1060606.0606060605,836.5156211611447,3817.0351066414914
1090909.0909090908,1358.3727047412813,3869.3247992047595
1121212.1212121213,1437.0290201959672,3672.06098255813
1151515.1515151516,1650.5130627840936,3635.3453855107814
1181818.1818181819,1385.872655488199,4065.149898275622
1212121.2121212122,1840.6969635759765,4262.231909939789
1242424.2424242424,1255.380010121117,4034.0666235488707
1272727.2727272727,1504.6453425545078,4265.560981454183
1303030.303030303,1462.9276572683573,4010.2110208663757
1333333.3333333335,1190.6238964096683,4244.219541798845
1363636.3636363638,1219.6617972479003,4747.014290670472
1393939.393939394,1420.0921043262417,3822.594229488855
1424242.4242424243,1325.866436475714,4537.883078556458
1454545.4545454546,1549.6879522261067,4194.12132328504
1484848.4848484849,1676.3050623024308,4270.068468769939
1515151.5151515151,1389.662024327747,4045.917883236288
1545454.5454545454,1457.6952547310684,4708.127498780248
1575757.5757575757,1191.7263597864799,4460.672250805468
1606060.6060606062,1151.360259748476,4367.832253881035
1636363.6363636365,1332.6826966231747,4470.016231969168
1666666.6666666667,1620.13368728575,4009.351088405173
1696969.696969697,1526.6949244841533,4656.264597726269
1727272.7272727273,1716.6605914371823,4525.470975955867
1757575.7575757576,1388.2496784628388,4529.7542364764595
1787878.7878787878,1020.4653163114501,4810.254785725287
1818181.8181818184,1619.9974681445021,4480.573838910666
1848484.8484848486,1395.8197103101122,4418.159044491534
1878787.878787879,1521.9740663522016,4514.733616750024
1909090.9090909092,1725.05331719119,4752.758750874873
1939393.9393939395,922.4947261092314,4693.366959778198
1969696.9696969697,1943.7190554556391,4746.406444752684
2000000.0,1472.3045611536363,4695.5887127165915
2030303.0303030303,1465.974985293777,4530.7883092160555
2060606.0606060605,1546.498681366051,4572.579297131382
2090909.090909091,1637.325882056186,4460.903464689972
2121212.121212121,1446.4580551526296,4410.708233471155
2151515.1515151514,1854.392497704302,4648.715551264482
2181818.1818181816,1960.4915237355847,4981.394508095385
2212121.2121212124,1353.8834240659726,4604.5464261091165
2242424.2424242427,1835.148589033664,4585.430217537775
2272727.272727273,1843.9128103761896,4464.476958982059
2303030.303030303,1883.0863551159468,4745.181347872781
2333333.3333333335,1109.5047359923506,4941.775449640576
2363636.3636363638,1667.1866090329106,5140.284347270986
2393939.393939394,1673.7865310778982,4933.722531019047
2424242.4242424243,1248.1519680429024,4735.327596619378
2454545.4545454546,1674.9556946312919,4928.4972269860045
2484848.484848485,1449.665024553015,4900.556914055489
2515151.515151515,1586.1639173829026,4908.788833611932
2545454.5454545454,1549.995127697884,4651.59038329192
2575757.5757575757,1562.6712654385801,4945.295581175189
2606060.606060606,1453.1269400333679,4902.719424419808
2636363.6363636362,1693.1374955465033,5358.08425947217
2666666.666666667,1486.2196670556148,5030.996307722764
2696969.6969696973,1493.4364438483192,4732.094444010019
2727272.7272727275,1749.1201232613305,4565.643857144196
2757575.757575758,1455.6127548310199,4917.477485840682
2787878.787878788,1543.6831584335978,5002.184370815847
2818181.8181818184,1799.3281801278913,5380.406324211029
2848484.8484848486,2253.4654281345106,4760.390941290647
2878787.878787879,1530.5381280536733,5028.160777303716
2909090.909090909,1244.945070248164,4748.669479566703
2939393.9393939395,1617.858394697446,4937.680323727412
2969696.9696969697,1671.3931543781982,5115.104494271385
3000000.0,1668.0089800243381,5164.80665615682
