episode,td_error
8,3.5643494
8,3.4366322
8,3.3225248
8,3.2675087
8,3.105834
8,2.9738672
8,2.9720469
8,2.8324065
8,2.6617553
8,2.5328543
8,2.4063334
8,2.2908401
8,2.1093638
8,2.0299032
8,1.9705114
8,2.0013416
8,1.8716671
8,1.7638016
8,1.587881
8,1.5881087
8,1.4553499
8,1.395983
8,1.3875437
8,1.2347244
8,1.22894
8,1.0922613
8,0.98981506
8,0.97727144
8,0.9947936
8,0.8824872
8,0.84523773
8,0.8037784
8,0.8698888
8,0.5875342
8,0.79956096
8,0.71466184
8,0.59755313
8,0.5833807
8,0.5393504
8,0.65357184
8,0.6666192
8,0.7510555
8,0.65732014
8,0.58943594
8,0.69130665
8,0.69433093
8,0.62443674
8,0.6092423
8,0.66898745
8,0.65784276
8,0.66441345
8,0.66107416
8,0.5735266
8,0.64641064
8,0.7209866
8,0.6318812
8,0.5722156
8,0.5993899
8,0.5660317
8,0.6308639
8,0.5539081
8,0.62070346
8,0.53873163
8,0.5829774
8,0.5503197
8,0.6269001
8,0.5402247
8,0.5441677
8,0.5698905
8,0.5398911
8,0.5218738
8,0.5384244
8,0.57094115
8,0.50246173
8,0.56004995
8,0.5622299
8,0.505931
8,0.50043386
8,0.5416988
8,0.48782414
8,0.46768183
8,0.47788912
8,0.39987996
8,0.49249598
8,0.46807045
8,0.5368424
8,0.43729624
8,0.4283778
8,0.45708072
8,0.49813473
8,0.4223556
8,0.38698924
8,0.39665508
8,0.38404864
8,0.38454926
8,0.4442603
8,0.4478268
8,0.3657351
8,0.37025183
8,0.31661725
8,0.35428727
8,0.33899218
8,0.35084736
8,0.32849073
8,0.34240165
8,0.3694582
8,0.35461926
8,0.39802414
8,0.31439745
8,0.35417157
8,0.30108017
8,0.35159016
8,0.33949423
8,0.3397677
8,0.33941656
8,0.31616992
8,0.36028853
8,0.29778832
8,0.30155426
8,0.31621394
8,0.32308367
8,0.31094378
8,0.3498007
8,0.3172849
8,0.2804445
8,0.28509086
8,0.26297218
8,0.2676764
8,0.29124486
8,0.27470642
8,0.24837905
8,0.26601186
8,0.30527714
8,0.24116123
8,0.2521088
8,0.28395498
8,0.23043485
8,0.25927624
8,0.22925484
8,0.22486964
8,0.2498473
8,0.26779315
8,0.2251409
8,0.27318794
8,0.2299629
8,0.21784237
8,0.24866146
8,0.21331152
8,0.21906465
8,0.22348338
8,0.22871377
8,0.25919956
8,0.23415303
8,0.23257154
8,0.21509477
8,0.22231206
8,0.20877618
8,0.25957927
8,0.2283714
8,0.21488872
8,0.21080118
8,0.21808092
8,0.20390192
8,0.22854653
8,0.24232942
8,0.24701712
8,0.21633291
8,0.2445392
8,0.25103888
8,0.27232593
8,0.23884583
8,0.25849885
8,0.23709708
8,0.24392118
8,0.24631572
8,0.2401483
8,0.23605642
8,0.24340677
8,0.25000292
8,0.29769838
8,0.21156967
