step,mujoco_step_times,brax_step_times
116,3.981590270996094e-05,0.0013167858123779297
117,4.38690185546875e-05,0.0007669925689697266
118,4.601478576660156e-05,0.0008311271667480469
119,4.982948303222656e-05,0.0009560585021972656
120,4.00543212890625e-05,0.0009610652923583984
121,4.7206878662109375e-05,0.0008182525634765625
122,4.7206878662109375e-05,0.0008111000061035156
123,4.029273986816406e-05,0.0008656978607177734
124,4.506111145019531e-05,0.0009541511535644531
125,4.00543212890625e-05,0.0008518695831298828
126,4.887580871582031e-05,0.0007851123809814453
127,4.1961669921875e-05,0.0009620189666748047
128,3.981590270996094e-05,0.0009310245513916016
129,4.7206878662109375e-05,0.0007622241973876953
130,4.363059997558594e-05,0.0008478164672851562
131,4.291534423828125e-05,0.0008440017700195312
132,4.1961669921875e-05,0.001374959945678711
133,3.981590270996094e-05,0.0014851093292236328
134,3.886222839355469e-05,0.0009860992431640625
135,3.886222839355469e-05,0.001093149185180664
136,4.100799560546875e-05,0.0008909702301025391
137,4.00543212890625e-05,0.001050710678100586
138,4.00543212890625e-05,0.001249074935913086
139,0.00012803077697753906,0.0007269382476806641
140,4.696846008300781e-05,0.0007860660552978516
141,0.00017189979553222656,0.0008368492126464844
142,8.7738037109375e-05,0.0007722377777099609
143,6.508827209472656e-05,0.001104116439819336
144,5.888938903808594e-05,0.000982046127319336
145,5.0067901611328125e-05,0.0008001327514648438
146,5.602836608886719e-05,0.0010769367218017578
147,4.410743713378906e-05,0.0009791851043701172
148,4.291534423828125e-05,0.0008108615875244141
149,3.910064697265625e-05,0.0009319782257080078
150,3.814697265625e-05,0.0010030269622802734
151,3.910064697265625e-05,0.0008349418640136719
152,4.1961669921875e-05,0.0008168220520019531
153,3.910064697265625e-05,0.0007879734039306641
154,6.198883056640625e-05,0.0008041858673095703
155,5.340576171875e-05,0.001035928726196289
156,4.267692565917969e-05,0.0009098052978515625
157,4.887580871582031e-05,0.001194000244140625
158,4.8160552978515625e-05,0.001188039779663086
159,4.601478576660156e-05,0.001554250717163086
160,4.982948303222656e-05,0.0008609294891357422
161,4.887580871582031e-05,0.0009789466857910156
162,4.57763671875e-05,0.0012600421905517578
163,4.601478576660156e-05,0.0008878707885742188
164,4.291534423828125e-05,0.000720977783203125
165,3.886222839355469e-05,0.000762939453125
166,3.886222839355469e-05,0.0008141994476318359
167,4.100799560546875e-05,0.0009100437164306641
168,4.696846008300781e-05,0.0010318756103515625
169,0.00011110305786132812,0.0008382797241210938
170,4.291534423828125e-05,0.0007522106170654297
171,4.38690185546875e-05,0.0008158683776855469
172,4.100799560546875e-05,0.0008199214935302734
173,4.601478576660156e-05,0.000946044921875
174,4.6253204345703125e-05,0.0007898807525634766
175,4.9114227294921875e-05,0.0012369155883789062
176,5.0067901611328125e-05,0.0007760524749755859
177,4.38690185546875e-05,0.001230001449584961
178,3.981590270996094e-05,0.0013840198516845703
179,4.100799560546875e-05,0.0008199214935302734
180,3.910064697265625e-05,0.0008552074432373047
181,4.315376281738281e-05,0.0008449554443359375
182,4.220008850097656e-05,0.000827789306640625
183,4.57763671875e-05,0.0016791820526123047
184,4.696846008300781e-05,0.0012469291687011719
185,3.933906555175781e-05,0.0011172294616699219
186,5.1975250244140625e-05,0.0014941692352294922
187,4.291534423828125e-05,0.0008740425109863281
188,4.315376281738281e-05,0.001096963882446289
189,0.00011014938354492188,0.0012102127075195312
190,9.393692016601562e-05,0.0009870529174804688
191,4.792213439941406e-05,0.0009253025054931641
192,4.1961669921875e-05,0.0009379386901855469
193,6.29425048828125e-05,0.0010528564453125
194,6.008148193359375e-05,0.0010266304016113281
195,5.936622619628906e-05,0.0009150505065917969
196,4.696846008300781e-05,0.0009279251098632812
197,5.1021575927734375e-05,0.0007588863372802734
198,4.7206878662109375e-05,0.0008351802825927734
199,4.100799560546875e-05,0.0008411407470703125
200,5.91278076171875e-05,0.0008339881896972656
