episode,td_error
8,3.3420396
8,3.0981402
8,3.0024967
8,2.9554935
8,2.8561525
8,2.7328568
8,2.461647
8,2.4283314
8,2.451758
8,2.2433372
8,2.207772
8,2.220059
8,2.090879
8,2.048066
8,1.8751389
8,1.8421357
8,1.7451872
8,1.6019938
8,1.649056
8,1.6006782
8,1.4687488
8,1.383514
8,1.3723383
8,1.3451672
8,1.2596958
8,1.1271577
8,1.1469843
8,1.0673139
8,1.0452319
8,1.0086774
8,0.91794884
8,0.8460052
8,0.8775303
8,0.76433897
8,0.8267193
8,0.69701993
8,0.6908032
8,0.67254126
8,0.70972264
8,0.62048453
8,0.6148319
8,0.6516012
8,0.57729375
8,0.5872146
8,0.54443127
8,0.53263044
8,0.5405898
8,0.5471947
8,0.51201594
8,0.4925721
8,0.49021733
8,0.46616644
8,0.48035383
8,0.46783352
8,0.46067125
8,0.43438894
8,0.42931774
8,0.38014904
8,0.4357377
8,0.3771307
8,0.41327977
8,0.43737537
8,0.38023564
8,0.36098182
8,0.35630357
8,0.406197
8,0.38779506
8,0.36473575
8,0.35677254
8,0.38432777
8,0.3700574
8,0.36044425
8,0.3684195
8,0.35003844
8,0.32301334
8,0.38210928
8,0.379103
8,0.36959693
8,0.3137772
8,0.33950806
8,0.3486836
8,0.28635347
8,0.31116956
8,0.34689242
8,0.3113414
8,0.31012344
8,0.27667195
8,0.31277913
8,0.33160102
8,0.31172422
8,0.32027036
8,0.27758795
8,0.2822722
8,0.30957866
8,0.2718168
8,0.27027994
8,0.30411017
8,0.28810036
8,0.27150184
8,0.25736877
8,0.26614803
8,0.25730368
8,0.29580316
8,0.24928379
8,0.27394712
8,0.2684256
8,0.26042473
8,0.25017503
8,0.28264654
8,0.23769072
8,0.26145965
8,0.28722852
8,0.24843806
8,0.24153368
8,0.23369518
8,0.2170709
8,0.2443729
8,0.23422006
8,0.28075093
8,0.25591093
8,0.24114752
8,0.23023963
8,0.26816678
8,0.26209217
8,0.24677694
8,0.27235204
8,0.2650453
8,0.23548411
8,0.24662077
8,0.25566888
8,0.2375496
8,0.2424317
8,0.2322511
8,0.22430028
8,0.23392242
8,0.25105217
8,0.20816378
8,0.23662718
8,0.23419549
8,0.26253495
8,0.2586571
8,0.2552792
8,0.2628832
8,0.25435814
8,0.2712831
8,0.2858292
8,0.2446673
8,0.25912112
8,0.26612437
8,0.23129022
8,0.22371668
8,0.22410843
8,0.26958457
8,0.21963657
8,0.2284015
8,0.23607738
8,0.27912658
8,0.24343444
8,0.2669536
8,0.25232705
8,0.2528504
8,0.27165788
8,0.2767234
8,0.26584342
8,0.2695946
8,0.27295163
8,0.24923825
8,0.28842682
8,0.29432246
8,0.23188266
8,0.2534234
8,0.28386062
8,0.25194538
8,0.3026777
8,0.27160424
8,0.24298021
8,0.25335073
8,0.24195783
8,0.23313531
8,0.21827313
8,0.27332866
8,0.25943366
8,0.24896047
8,0.24494472
8,0.30070868
8,0.25087607
8,0.27856773
8,0.27024448
8,0.27601755
8,0.25248837
8,0.28365213
8,0.29387224
8,0.24387404
8,0.28080338
8,0.28854582
8,0.25665218
8,0.25233558
8,0.26446602
8,0.26621544
8,0.26553512
8,0.24907756
8,0.2792545
8,0.29939097
8,0.2792859
8,0.33859453
8,0.28236592
8,0.29757965
8,0.2592107
8,0.31016207
8,0.2665379
8,0.28202093
8,0.2636528
8,0.25844234
8,0.26087865
8,0.2126338
8,0.2902842
8,0.2953849
8,0.28487027
8,0.29429707
8,0.28500208
8,0.28093338
8,0.26730108
8,0.2875623
8,0.28786176
8,0.27535057
8,0.2621609
8,0.23086753
8,0.25889027
8,0.30692837
8,0.26165
8,0.23978207
8,0.29608718
8,0.280921
8,0.26067114
8,0.26641902
8,0.29080293
8,0.28308046
8,0.29324105
8,0.30757296
8,0.2608835
8,0.2853464
8,0.28872097
8,0.26773405
8,0.32133424
8,0.28326064
8,0.27149987
8,0.28600138
8,0.25862873
8,0.23661533
