episode,td_error
8,3.4538136
8,3.3841958
8,3.2038634
8,3.058889
8,2.8775144
8,2.733742
8,2.482984
8,2.4838753
8,2.3850973
8,2.2617364
8,2.1158514
8,2.043772
8,1.9989169
8,1.9075475
8,1.8154123
8,1.7893258
8,1.6652439
8,1.5702136
8,1.484792
8,1.4137164
8,1.3544934
8,1.2225246
8,1.2089746
8,1.1185873
8,0.999969
8,1.0002718
8,0.90992343
8,0.8311304
8,0.730296
8,0.73346853
8,0.6429969
8,0.57383347
8,0.5717569
8,0.5952348
8,0.45312542
8,0.46399817
8,0.53442544
8,0.48092306
8,0.43007588
8,0.44419152
8,0.5674192
8,0.45831376
8,0.52091247
8,0.42990583
8,0.44125187
8,0.47120762
8,0.44928238
8,0.4873125
8,0.42430478
8,0.38180965
8,0.41614252
8,0.488636
8,0.47776803
8,0.44270375
8,0.4772833
8,0.4865712
8,0.45885924
8,0.4371071
8,0.38545132
8,0.44483188
8,0.41458523
8,0.39985853
8,0.4429892
8,0.4369931
8,0.47547168
8,0.42399073
8,0.36566287
8,0.40368152
8,0.45850015
8,0.41240016
8,0.3889177
8,0.38153782
8,0.42581233
8,0.36153993
8,0.3651274
8,0.3576758
8,0.38640016
8,0.3761735
8,0.36417222
8,0.3456344
8,0.31831682
8,0.31803352
8,0.32853943
8,0.31740156
8,0.33915415
8,0.30937588
8,0.31503123
8,0.29603964
8,0.29193705
8,0.32171604
8,0.30665088
8,0.31719714
8,0.27690774
8,0.2940681
8,0.30054608
8,0.28619963
8,0.3053034
8,0.29098484
8,0.28567013
8,0.2570866
8,0.2814359
8,0.2744252
8,0.2960403
8,0.26630086
8,0.27076805
8,0.27875823
8,0.29712594
8,0.27680302
8,0.28204715
8,0.28564027
8,0.25675115
8,0.2688532
8,0.281439
8,0.23665248
8,0.24083695
8,0.24028388
8,0.29357898
8,0.2625649
8,0.25583804
8,0.26718298
8,0.25216705
8,0.23660976
8,0.2615205
8,0.2412468
8,0.2518761
8,0.24248692
8,0.28232682
8,0.24571797
8,0.23517871
8,0.22534369
8,0.24457324
8,0.23841979
8,0.24832895
8,0.27973628
8,0.25340575
8,0.23561178
8,0.2631526
8,0.25179294
8,0.24715784
8,0.2320633
8,0.24043658
8,0.24727781
8,0.24878994
8,0.25192577
8,0.27674413
8,0.26501077
8,0.27579653
8,0.22342452
8,0.28670543
8,0.23001462
8,0.26455307
8,0.2450085
8,0.2629956
8,0.23200086
8,0.23544432
8,0.23530471
8,0.24494389
8,0.23185953
8,0.24099544
8,0.22284032
8,0.23605019
8,0.25776035
8,0.27496475
8,0.24123643
8,0.21572769
8,0.23561186
8,0.22961187
8,0.22708715
8,0.23854592
8,0.212647
8,0.20758066
8,0.2617386
8,0.2139508
8,0.22715077
8,0.28538287
8,0.26108044
8,0.23593017
8,0.2792861
8,0.25343928
8,0.28805006
8,0.25144887
8,0.23620455
8,0.23583344
8,0.27927795
8,0.25795245
8,0.23464185
8,0.23224212
8,0.22598264
8,0.24825361
8,0.25860655
8,0.23042695
8,0.24568024
8,0.25270224
8,0.23446046
8,0.2596762
8,0.22004777
8,0.22850466
8,0.2560497
8,0.28809604
8,0.23271322
8,0.30789065
8,0.25244778
8,0.2728641
8,0.27307785
8,0.2811497
8,0.2310951
8,0.28514427
8,0.27034214
8,0.28181797
8,0.2779231
8,0.2707039
8,0.2506409
8,0.23513786
8,0.23717526
8,0.26817277
8,0.26842785
8,0.26386952
8,0.26087785
8,0.24913767
8,0.2385205
8,0.2608766
8,0.23564723
8,0.2468869
8,0.26057622
8,0.2976796
8,0.24367829
8,0.27283072
8,0.23352616
8,0.28415328
8,0.31006193
8,0.2562124
8,0.29281712
8,0.25470123
8,0.28520048
8,0.2739387
8,0.23763154
8,0.24600676
8,0.23923384
8,0.25543168
8,0.26652095
8,0.2700544
8,0.2729237
8,0.2446957
8,0.29443464
8,0.28180802
8,0.2800532
8,0.26154253
8,0.2908365
8,0.262293
8,0.2663448
8,0.25927913
8,0.27018446
8,0.25406322
8,0.23642623
8,0.2692507
8,0.27274007
8,0.2714633
8,0.2568875
8,0.31390268
8,0.30220687
8,0.2817618
8,0.30149966
8,0.27747786
8,0.27191693
8,0.3234097
8,0.2722702
8,0.24655767
8,0.28635526
