episode,mujoco_steps,brax_steps
0,1000,388
1,1000,509
2,1000,188
3,1000,323
4,1000,37
5,1000,29
6,1000,150
7,1000,11
8,1000,17
9,1000,40
10,1000,181
11,1000,201
12,1000,78
13,1000,60
14,1000,49
15,13,12
16,364,37
17,40,130
18,1000,29
19,250,22
20,273,26
21,178,56
22,93,54
23,1000,255
24,1000,178
25,1000,38
26,1000,14
27,759,61
28,1000,99
29,310,14
30,1000,84
31,146,112
32,1000,164
33,1000,16
34,306,101
35,1000,32
36,708,36
37,1000,55
38,1000,130
39,1000,54
40,1000,56
41,1000,150
42,1000,88
43,1000,102
44,220,42
45,1000,76
46,66,105
47,1000,111
48,518,56
49,1000,55
50,1000,61
51,1000,58
52,1000,36
53,1000,39
54,1000,30
55,1000,53
56,1000,121
57,1000,16
58,1000,222
59,90,106
60,1000,202
61,1000,69
62,95,23
63,477,38
64,1000,84
65,530,75
66,58,229
67,578,99
68,1000,137
69,1000,42
70,202,97
71,1000,54
72,367,44
73,1000,31
74,314,16
75,1000,33
76,1000,147
77,251,107
78,1000,147
79,704,133
80,1000,26
81,454,49
82,91,91
83,141,28
84,1000,104
85,894,383
86,1000,189
87,1000,21
88,1000,84
89,120,139
90,1000,18
91,175,272
92,299,93
93,160,49
94,244,48
95,1000,51
96,1000,25
97,1000,120
98,171,122
99,108,23
100,1000,101
101,694,151
102,1000,29
103,1000,116
104,90,105
105,399,60
106,1000,104
107,57,152
108,1000,43
109,66,174
110,403,273
111,416,55
112,1000,163
113,1000,32
114,76,29
115,1000,122
116,1000,300
117,1000,46
118,1000,52
119,61,36
120,376,12
121,227,17
122,1000,40
123,404,44
124,1000,15
125,1000,67
126,1000,66
127,1000,154
128,1000,216
129,27,148
130,1000,94
131,1000,303
132,356,33
133,373,14
134,1000,26
135,1000,70
136,1000,419
137,1000,39
138,117,79
139,1000,40
140,668,229
141,1000,32
142,1000,18
143,1000,29
144,187,64
145,499,101
146,389,28
147,142,121
148,40,30
149,1000,45
150,1000,37
151,154,95
152,25,22
153,211,53
154,1000,48
155,1000,97
156,44,86
157,1000,41
158,1000,91
159,1000,48
160,15,35
161,1000,24
162,1000,13
163,1000,83
164,1000,94
165,1000,130
166,235,18
167,1000,12
168,1000,30
169,430,13
170,1000,20
171,57,14
172,1000,39
173,352,33
174,1000,80
175,676,21
176,1000,52
177,474,14
178,366,198
179,403,48
180,802,168
181,1000,87
182,1000,86
183,199,165
184,1000,50
185,93,13
186,1000,12
187,289,39
188,459,128
189,1000,70
190,208,186
191,469,38
192,66,64
193,1000,60
194,1000,57
195,129,13
196,1000,136
197,547,52
198,221,76
199,1000,361
200,1000,172
201,1000,154
202,820,21
203,1000,41
204,1000,22
205,171,59
206,986,43
207,1000,98
208,1000,84
209,1000,160
210,1000,81
211,104,40
212,1000,101
213,1000,11
214,1000,41
215,613,41
216,49,41
217,1000,40
218,1000,11
219,820,69
220,201,49
221,1000,27
222,937,34
223,1000,73
224,248,11
225,1000,107
226,1000,133
227,239,149
228,1000,12
229,485,39
230,81,26
231,1000,124
232,1000,24
233,1000,30
234,1000,221
235,810,103
236,1000,44
237,1000,317
238,1000,133
239,176,128
240,77,48
241,1000,83
242,1000,41
243,1000,41
244,1000,196
245,591,205
246,1000,87
247,1000,14
248,1000,30
249,1000,147
250,1000,99
251,1000,75
252,354,84
253,12,110
254,1000,96
255,571,27
256,16,56
257,876,54
258,82,31
259,1000,75
260,77,35
261,703,23
262,1000,36
263,269,45
264,1000,167
265,229,91
266,1000,12
267,1000,19
268,402,155
269,402,108
270,576,16
271,12,210
272,773,125
273,1000,70
274,864,32
275,1000,39
276,1000,30
277,1000,76
278,1000,27
279,1000,34
280,1000,74
281,585,126
282,1000,26
283,143,30
284,1000,20
285,1000,20
286,1000,42
287,61,17
288,1000,107
289,279,191
290,81,68
291,1000,130
292,96,52
293,1000,146
294,1000,58
295,431,79
296,1000,48
297,873,87
298,1000,42
299,1000,51
300,1000,37
301,1000,13
302,29,34
303,1000,65
304,581,11
305,1000,20
306,391,51
307,1000,67
308,87,11
309,25,34
310,1000,10
311,375,103
312,50,35
313,874,98
314,1000,31
315,505,158
316,1000,105
317,1000,240
318,1000,61
319,128,52
320,1000,21
321,1000,41
322,1000,48
323,1000,28
324,1000,79
325,1000,316
326,1000,84
327,669,90
328,12,21
329,438,74
330,1000,178
331,535,32
332,530,28
333,1000,91
334,177,96
335,294,10
336,36,37
337,1000,136
338,123,18
339,1000,82
340,1000,91
341,1000,47
342,180,52
343,618,52
344,498,70
345,1000,88
346,1000,56
347,1000,209
348,11,59
349,1000,31
350,1000,32
351,1000,234
352,1000,39
353,632,137
354,1000,45
355,1000,94
356,1000,13
357,1000,228
358,1000,45
359,591,70
360,192,94
361,1000,163
362,823,22
363,707,93
364,1000,32
365,12,387
366,1000,34
367,1000,113
368,1000,113
369,1000,127
370,1000,329
371,1000,72
372,230,12
373,1000,37
374,1000,45
375,1000,64
376,1000,38
377,1000,98
378,28,7
379,894,288
380,1000,75
381,16,32
382,651,62
383,1000,21
384,1000,58
385,754,67
386,1000,252
387,79,64
388,1000,20
389,1000,206
390,435,123
391,340,97
392,1000,96
393,701,23
394,467,120
395,1000,75
396,1000,55
397,1000,184
398,1000,46
399,1000,28
400,10,84
401,1000,56
402,1000,74
403,109,31
404,1000,19
405,336,25
406,265,48
407,196,71
408,312,109
409,1000,186
410,252,165
411,227,51
412,35,79
413,87,16
414,1000,70
415,826,18
416,1000,174
417,1000,65
418,1000,120
419,1000,80
420,707,14
421,1000,26
422,274,21
423,1000,72
424,1000,26
425,512,66
426,1000,77
427,1000,246
428,1000,50
429,1000,193
430,338,72
431,1000,85
432,1000,202
433,784,136
434,576,19
435,1000,47
436,1000,12
437,599,31
438,1000,64
439,1000,186
440,800,210
441,1000,27
442,1000,34
443,395,39
444,550,78
445,1000,60
446,1000,10
447,1000,72
448,1000,63
449,21,12
450,1000,54
451,1000,131
452,1000,26
453,11,150
454,459,56
455,352,16
456,1000,21
457,320,11
458,184,114
459,1000,54
460,200,14
461,624,42
462,206,129
463,1000,10
464,1000,26
465,1000,91
466,1000,35
467,144,35
468,1000,28
469,860,38
470,11,35
471,1000,181
472,1000,16
473,351,71
474,734,65
475,239,112
476,1000,220
477,1000,53
478,1000,120
479,1000,130
480,1000,85
481,39,328
482,1000,92
483,119,102
484,1000,37
485,1000,86
486,282,70
487,384,62
488,1000,52
489,468,81
490,143,116
491,615,88
492,448,66
493,988,40
494,1000,64
495,49,48
496,1000,103
497,1000,31
498,1000,45
499,1000,93
