episode,mujoco_reward,brax_reward
0,-11.342523484478685,48.63404216589606
1,-9.377735398118526,47.85254790101317
2,-5.7786741556153185,45.9210825223563
3,-6.891474453287798,48.06286344078035
4,-8.464658438283765,45.932132373331115
5,-4.694249937540405,47.34611747912277
6,-8.255571666477337,48.631098695783294
7,-9.433677718632415,44.50189571125884
8,-151.7632710546297,-537.3395894507412
9,-255.83429740265134,-224.32849743869156
10,-113.249923810519,-191.93829873560753
11,-187.187946606924,-337.2093292067293
12,-310.2213883652794,-225.03675581334392
13,39.29232109174572,-277.6978552409564
14,-13.988657292667998,-95.57469587459855
15,1.216893708877934,-202.15779644784925
16,-46.83217925388707,-321.20399796367565
17,-206.41388740672474,-126.26468775758985
18,-29.405634108841085,-39.3548553607543
19,6.04778013575257,29.017100048280554
20,20.300081622866067,97.57659823909944
21,144.7910502417613,-2.9099219937925227
22,-1.2703198316806308,-16.74041030920762
23,59.451609693707226,77.97630547682638
24,69.07194276178629,266.5474310925929
25,74.30387623838436,236.7329573809402
26,84.89221017839435,278.99811458346085
27,88.77381203887921,211.51982742757536
28,106.12249801118452,370.4905629176428
29,127.30209981253043,456.08985535707325
30,138.7631472073142,443.16790979076177
31,179.43447707106094,8.63986553173163
32,216.28100901572884,462.4180334729608
33,409.09171315195204,452.79063792144734
34,384.6755221112554,695.1024289593333
35,446.58128146947394,851.5430153204361
36,534.053350048216,713.0658516508411
37,449.0607054149211,397.4001200867351
38,458.1674630623982,-197.74038726161234
39,592.0056212929253,769.2247176356323
40,534.6647194977598,-214.5319226384163
41,536.9728952855587,-30.381198816321557
42,484.862121750596,357.2996842879802
43,526.2313134783731,-3.294750422544894
44,435.9407027791897,344.9326866634656
45,471.73710298503,888.5071882866323
46,503.0283996175477,-126.79360251207254
47,557.6475952267351,500.30544931901386
48,406.53350109233236,1014.7574227331206
49,518.6468100925459,-121.63859896316717
50,510.28427989594866,-239.86962938460056
51,424.28386753121805,1236.1812659273855
52,507.93933512454265,1053.33243805237
53,537.0645257539225,-100.5079820119281
54,499.28840069345404,-89.35446363736992
55,547.8222928267116,-3.517070371482987
56,344.7174220141121,1356.6062793091405
57,420.1543429741971,-20.904488287116692
58,315.7097672579607,-11.181632767387782
59,428.56601835411254,-192.43156856903806
60,407.78301892572824,-49.93771561817266
61,491.72057696698596,1586.3706776751205
62,487.06649339353515,-26.591450120526133
63,555.6783704795291,95.99283686559647
64,584.6572789577835,-180.81755083845928
