episode,mujoco_reward,brax_reward
374,4579.177200239783,4277.7954363673925
375,4849.716248396915,4587.2392815202475
376,4863.856757714834,4398.104574918747
377,4840.0097045068,4357.298237979412
378,4792.660670261437,4675.814145445824
379,4757.743431672863,4458.132034555078
380,4916.778460534835,4653.6319153904915
381,4939.228243233001,4759.750312671065
382,4948.444542814919,4549.779795125127
383,5008.816678516345,1027.9435716047883
384,4859.799725013383,2382.9949388429523
385,4670.063747201795,4636.639053907245
386,4836.28538054677,4566.648662038147
387,4740.033466885828,4127.541683077812
388,4829.590979101865,4697.744846028741
389,2957.298258642966,4582.542269185185
390,4969.454115176317,4571.124601855874
391,4975.149147119392,4469.767534971237
392,5225.109031038313,4688.2198735028505
393,4990.557815023171,3053.5952432900667
394,4820.796152828671,4729.603269785643
395,5115.179803522772,4691.237884894013
396,5216.956052609057,4789.128955543041
397,4861.244985505313,4774.490426972508
398,4809.048473875213,4655.6909477598965
399,4680.056129559808,4678.111472435296
400,5217.015293043263,4608.281967893243
401,4955.300867033992,4404.124360665679
402,5044.674273820854,4467.270141683519
403,4871.808606454188,4702.399465754628
404,5215.422818521134,4832.755541160703
405,4869.908408061613,4506.84788095206
406,5074.225240528239,4654.792136237025
407,5083.017129390515,911.1290527507663
408,4757.189177935697,4456.502094253898
409,5446.0297498893015,4333.752596646547
410,4927.957926731767,4511.691106373444
411,5401.008300113675,4374.549768581986
412,5049.274819282533,4650.105947613716
413,5271.444817879455,4793.23762267828
414,5217.285984028547,4414.5633489270695
415,5351.862519979566,4607.188809543848
416,4986.665540899828,4676.608072146773
417,5005.349669448276,4450.15371067822
418,4887.78222625397,4600.746578544378
419,5193.327611509026,4433.755881048739
420,5197.806966018739,4749.616706222296
421,5538.2368989666875,4225.392735682428
422,5231.359066231462,4531.709352299571
423,4935.102745240878,4450.293577335775
424,5187.731410702327,4757.232192670461
425,5165.074371687924,4746.981643296778
426,5151.003772622242,4345.650497512892
427,5433.4133888976185,4672.889591902494
428,5318.960738626256,4732.370921134949
429,5494.994761348017,4402.392213523388
430,4904.944251830804,4728.14539232105
431,4985.8983635883305,4120.459058359265
432,4845.1476053542665,4395.383800640702
433,5391.662946190978,4194.903196617961
434,4998.711697460287,233.75766097009182
435,5137.874093612194,4566.334358140826
436,5397.896400116112,4525.656504556537
437,4851.96142741321,4636.866046741605
438,5066.203986630267,4461.8897905647755
439,5029.425917677608,4117.727728188038
440,5045.730911758072,4542.0164231061935
441,4932.45340676163,4445.327532287687
442,5203.034518471429,4455.475440323353
443,5178.597056772663,4701.559078263119
444,5072.4937909906075,946.2423530388623
445,5506.6587820741925,4385.309382379055
446,5276.948531984768,4650.473331384361
447,5280.529219239991,4786.167453035712
448,5149.2183817956875,4389.750947915018
449,5237.733734304955,4010.2251122631133
450,5559.468338225583,4351.817193068564
451,4993.464342557556,4714.971731476486
452,5291.383458191325,4539.251409128308
453,5206.8208305313165,4672.565333366394
454,5274.706795052889,4794.545510649681
455,5118.755948199259,4653.318779736757
456,5071.574806573166,4850.428342014551
457,4958.752815924609,4424.558326303959
458,5046.219145301853,4496.564411953092
459,5311.959283940719,4714.307773113251
460,5135.110426157594,4807.710717658512
461,5006.235036999195,4229.244317919016
462,5200.938218686996,4352.700613647699
463,5016.800136843106,4514.124575302005
464,5095.7676024300235,4567.446017110255
465,5334.443367302045,4591.979080656543
466,5260.1270083733525,4459.155269637704
467,5072.049471800827,4182.969513326883
468,5476.766251876923,4587.201948609203
469,4841.268345624253,4707.915841780603
470,5062.732691319576,4611.7683959677815
471,5553.156607531128,4843.202859684825
472,5623.409459789735,4487.537958860397
473,5692.54470786679,4641.483750857413
474,5268.46909238731,4685.793700516224
475,5265.588884571697,4731.3858062028885
476,5277.664061990002,4425.869923971593
477,5229.4474415845025,4485.881333485246
478,5121.478710516185,4598.470543252304
479,5023.715267456493,4490.491612166166
480,5178.769403984973,4619.7739792615175
481,5360.783646420908,4862.082720734179
482,5415.664381827645,4783.750502109528
483,5172.9674854684245,4658.224036768079
484,5353.313226613596,4731.173509553075
485,5459.679460892989,4984.950519416481
486,5332.161917827176,4952.5509099550545
487,5111.063314003535,4618.267601408064
488,5410.163796499578,4735.471552148461
489,5406.838142345553,4687.157153755426
490,5510.07681833385,1749.8002611100674
491,5403.159934831498,4690.75441634655
492,5463.033355579474,4823.224344268441
493,5319.010966482728,4713.76902885735
494,5293.866970640095,5053.068252041936
495,5371.932309270952,4739.049853250384
496,5273.868460008552,4495.659848222509
497,5507.640174268885,4578.162947501987
498,4968.977382197372,4633.254205554724
499,5439.615043660007,4732.6449332442135
