episode,mujoco_steps,brax_steps
0,1000,115
1,1000,648
2,1000,24
3,1000,128
4,1000,609
5,1000,51
6,1000,224
7,1000,377
8,1000,292
9,1000,25
10,1000,93
11,1000,22
12,1000,238
13,1000,13
14,37,70
15,151,44
16,1000,29
17,42,65
18,138,49
19,118,33
20,99,86
21,1000,16
22,564,73
23,461,45
24,411,205
25,978,28
26,318,33
27,1000,16
28,1000,110
29,1000,24
30,548,59
31,1000,17
32,1000,44
33,924,66
34,1000,84
35,1000,78
36,446,83
37,1000,82
38,897,145
39,212,119
40,276,63
41,788,110
42,566,119
43,1000,68
44,1000,41
45,132,56
46,1000,43
47,1000,54
48,1000,41
49,1000,31
50,1000,78
51,1000,35
52,580,17
53,1000,21
54,1000,32
55,1000,49
56,587,109
57,1000,105
58,435,87
59,1000,14
60,1000,114
61,1000,190
62,1000,20
63,1000,192
64,1000,12
65,1000,259
66,367,62
67,1000,121
68,1000,29
69,1000,95
70,1000,52
71,1000,13
72,1000,296
73,1000,16
74,1000,60
75,1000,18
76,222,15
77,1000,10
78,683,107
79,1000,47
80,1000,299
81,370,34
82,1000,123
83,935,100
84,1000,19
85,598,93
86,655,88
87,361,13
88,715,68
89,444,54
90,225,21
91,300,43
92,1000,15
93,1000,113
94,156,47
95,629,94
96,1000,151
97,1000,93
98,556,66
99,1000,22
100,1000,43
101,1000,16
102,941,80
103,1000,15
104,1000,134
105,40,45
106,384,69
107,394,392
108,1000,23
109,1000,109
110,1000,30
111,373,48
112,324,24
113,502,30
114,987,177
115,1000,153
116,224,33
117,115,119
118,520,73
119,1000,235
120,1000,48
121,1000,75
122,450,40
123,549,76
124,1000,148
125,1000,15
126,227,84
127,410,59
128,290,164
129,590,28
130,25,49
131,1000,86
132,1000,40
133,831,67
134,930,208
135,1000,27
136,1000,115
137,1000,88
138,545,71
139,884,13
140,523,79
141,1000,50
142,1000,31
143,1000,89
144,1000,90
145,1000,43
146,535,139
147,1000,351
148,635,52
149,1000,28
150,696,114
151,1000,282
152,1000,65
153,391,51
154,1000,12
155,1000,63
156,1000,83
157,1000,330
158,1000,235
159,1000,32
160,1000,55
161,210,26
162,1000,49
163,490,14
164,1000,90
165,300,131
166,1000,30
167,1000,242
168,253,62
169,1000,45
170,1000,83
171,96,275
172,1000,34
173,1000,156
174,1000,107
175,538,267
176,1000,205
177,551,81
178,1000,89
179,468,49
180,1000,291
181,1000,64
182,539,41
183,1000,29
184,835,40
185,324,70
186,625,18
187,1000,12
188,442,95
189,1000,242
190,231,75
191,1000,27
192,1000,159
193,1000,45
194,1000,285
195,71,8
196,1000,45
197,1000,56
198,1000,34
199,1000,63
200,1000,15
201,378,266
202,1000,270
203,1000,177
204,410,206
205,500,170
206,671,54
207,1000,303
208,961,82
209,340,126
210,1000,53
211,105,91
212,1000,38
213,212,29
214,1000,15
215,1000,191
216,646,175
217,1000,109
218,802,83
219,1000,50
220,1000,54
221,240,89
222,1000,66
223,1000,195
224,1000,112
225,1000,74
226,1000,15
227,1000,86
228,1000,221
229,224,48
230,1000,129
231,31,56
232,1000,111
233,971,333
234,1000,62
235,787,60
236,1000,257
237,200,48
238,1000,166
239,1000,19
240,678,48
241,716,21
242,1000,65
243,1000,66
244,355,33
245,220,21
246,617,44
247,68,71
248,286,28
249,576,23
250,171,16
251,1000,41
252,1000,107
253,1000,42
254,142,21
255,1000,29
256,1000,94
257,1000,53
258,1000,63
259,191,59
260,145,53
261,1000,64
262,1000,32
263,198,93
264,428,132
265,984,18
266,84,217
267,142,130
268,71,136
269,464,431
270,1000,596
271,249,203
272,1000,257
273,1000,143
274,1000,544
275,1000,62
276,1000,145
277,1000,72
278,718,206
279,101,40
280,1000,326
281,990,95
282,1000,625
283,1000,64
284,64,21
285,1000,124
286,1000,82
287,1000,382
288,1000,61
289,1000,74
290,1000,23
291,1000,41
292,1000,218
293,136,161
294,41,41
295,1000,139
296,1000,264
297,1000,52
298,1000,165
299,1000,43
300,1000,94
301,1000,240
302,1000,290
303,1000,218
304,127,55
305,1000,180
306,1000,189
307,1000,52
308,1000,23
309,1000,97
310,1000,120
311,1000,258
312,1000,91
313,87,59
314,1000,356
315,1000,742
316,300,196
317,329,23
318,1000,122
319,1000,48
320,330,112
321,802,43
322,217,127
323,367,169
324,112,112
325,1000,12
326,1000,26
327,1000,196
328,1000,95
329,76,11
330,264,159
331,281,45
332,1000,97
333,459,112
334,78,150
335,1000,44
336,39,270
337,1000,153
338,157,65
339,112,97
340,224,166
341,186,41
342,1000,203
343,1000,65
344,1000,133
345,301,137
346,1000,181
347,1000,25
348,1000,70
349,1000,69
350,1000,631
351,1000,55
352,1000,166
353,130,267
354,1000,75
355,1000,1000
356,289,314
357,1000,161
358,295,127
359,170,61
360,1000,10
361,1000,214
362,75,161
363,186,116
364,535,217
365,214,960
366,575,31
367,1000,32
368,536,219
369,432,71
370,1000,287
371,396,194
372,1000,240
373,1000,573
374,1000,116
375,622,298
376,1000,296
377,1000,317
378,102,424
379,823,344
380,140,278
381,1000,810
382,449,369
383,1000,282
384,1000,208
385,1000,158
386,1000,59
387,159,97
388,1000,1000
389,389,286
390,58,418
391,1000,142
392,90,167
393,373,101
394,177,360
395,99,64
396,1000,57
397,1000,227
398,106,790
399,484,688
400,41,476
401,132,233
402,755,41
403,1000,1000
404,621,427
405,1000,758
406,331,160
407,83,844
408,1000,226
409,518,986
410,550,87
411,176,97
412,80,248
413,70,69
414,1000,586
415,60,385
416,1000,89
417,218,105
418,237,104
419,83,1000
420,39,803
421,200,1000
422,312,1000
423,1000,905
424,1000,855
425,244,364
426,40,282
427,1000,273
428,134,128
429,1000,760
430,95,711
431,68,179
432,1000,706
433,1000,991
434,1000,750
435,158,288
436,411,403
437,68,1000
438,107,909
439,182,415
440,126,198
441,1000,220
442,71,31
443,65,329
444,115,237
445,91,431
446,43,720
447,78,214
448,73,228
449,230,596
450,692,1000
451,106,1000
452,513,264
453,1000,1000
454,1000,555
455,1000,603
456,171,670
457,1000,90
458,1000,298
459,1000,1000
460,274,53
461,283,1000
462,105,928
463,148,49
464,51,393
465,147,68
466,331,1000
467,137,92
468,95,308
469,168,1000
470,360,783
471,142,537
472,232,256
473,1000,453
474,1000,370
475,1000,274
476,240,313
477,1000,116
478,457,674
479,283,648
480,14,38
481,89,323
482,92,1000
483,172,43
484,250,19
485,83,149
486,129,490
487,1000,1000
488,1000,310
489,254,477
490,1000,1000
491,83,1000
492,166,82
493,282,92
494,75,1000
495,51,393
496,129,315
497,272,78
498,833,1000
499,1000,207
