episode,td_error
1,0.1240799
1,0.119071506
1,0.10162007
1,0.09949687
1,0.098586276
1,0.0962393
1,0.09174901
1,0.09553709
1,0.08864102
1,0.09093015
1,0.08776601
1,0.08784554
1,0.08596213
1,0.08926782
1,0.093028024
1,0.080716975
1,0.0847083
1,0.08204945
1,0.08056455
1,0.08366317
1,0.081547886
1,0.07844795
1,0.07855129
1,0.07650854
1,0.07954004
1,0.07649092
1,0.07277678
1,0.07635314
1,0.07248843
1,0.071394265
1,0.06888525
1,0.071987614
1,0.068586275
1,0.06863974
1,0.06449895
1,0.06945929
1,0.063517734
1,0.058238808
1,0.059292506
1,0.060160853
1,0.05900006
1,0.06293113
1,0.057810392
1,0.057588987
1,0.056262825
1,0.0542145
1,0.05406296
1,0.056822285
1,0.056563728
1,0.050765168
1,0.052435037
1,0.05210053
1,0.05351083
1,0.052045893
1,0.0524737
1,0.051771775
1,0.05245392
1,0.049389444
1,0.048108235
1,0.049749076
1,0.053370014
1,0.05081981
1,0.04881087
1,0.04834774
1,0.050047167
1,0.048559252
1,0.052542508
1,0.045944504
1,0.048236303
1,0.049992505
1,0.04488332
1,0.04553667
1,0.044042155
1,0.04541935
1,0.045129675
1,0.043524414
1,0.044812404
1,0.04542505
1,0.043888688
1,0.045454577
1,0.04596614
1,0.04324274
1,0.044629883
1,0.043472957
1,0.04566382
1,0.044328906
1,0.047327727
1,0.04564378
1,0.043463495
1,0.04497064
1,0.041967656
1,0.04400434
1,0.04318806
1,0.043881036
1,0.042172775
1,0.043046996
1,0.04324849
1,0.04240447
1,0.040811878
1,0.04531739
1,0.041057978
1,0.0423872
1,0.04165279
1,0.041716684
1,0.041479334
1,0.03995776
1,0.04276032
1,0.04241894
1,0.040854428
1,0.04227458
1,0.04164099
1,0.040705577
1,0.041601118
1,0.043072186
1,0.04201631
1,0.040128022
1,0.040846564
1,0.039049044
1,0.039778408
1,0.042699777
1,0.04078156
1,0.04117676
1,0.042516366
1,0.040585693
1,0.039626516
1,0.041054506
1,0.04172977
1,0.039376736
1,0.039660074
1,0.039834768
1,0.043111518
1,0.039603196
1,0.039674044
1,0.03885808
1,0.039876245
1,0.040670745
1,0.041007467
1,0.04038107
1,0.042156942
1,0.03955982
1,0.03878101
1,0.03773483
1,0.038580082
1,0.038658515
1,0.040014565
1,0.040894467
1,0.038318414
1,0.038564228
1,0.038345248
1,0.039443135
1,0.03726944
1,0.038519967
1,0.03754186
1,0.03756485
1,0.037958283
1,0.03968074
1,0.038605083
1,0.036471337
1,0.037957475
1,0.037653673
1,0.03678582
1,0.0399646
1,0.038786612
1,0.037913106
1,0.03793502
1,0.037403807
1,0.03504313
1,0.036076587
1,0.035813607
1,0.03630875
1,0.036548987
1,0.038000952
1,0.035549883
1,0.03591989
1,0.03743074
1,0.035514686
1,0.035903133
1,0.03646979
1,0.036246143
1,0.035821788
1,0.035136458
1,0.036180127
1,0.03572161
1,0.036686957
1,0.034795396
1,0.03667315
1,0.037140615
1,0.032900445
1,0.032992423
1,0.031153489
1,0.03571545
1,0.035842564
1,0.03587139
1,0.033216834
1,0.035144545
1,0.03428132
1,0.03641448
1,0.03668709
1,0.036745586
1,0.036395893
1,0.036034226
1,0.033560842
1,0.033994015
1,0.03444872
1,0.034400452
1,0.035222873
1,0.03140653
1,0.032511428
1,0.03695342
1,0.033415765
1,0.033525266
1,0.031544693
1,0.037119567
1,0.032371424
1,0.033952117
1,0.03302342
1,0.03363622
1,0.032617476
1,0.032264236
1,0.034337856
1,0.030114349
1,0.03452744
1,0.033498324
1,0.031566255
1,0.030216511
1,0.03344097
1,0.03213562
1,0.030465193
1,0.032276947
1,0.03130088
1,0.028962879
1,0.03231176
1,0.030536002
1,0.032094248
1,0.031554513
1,0.031252835
1,0.031188764
1,0.031097852
1,0.028183594
1,0.02987321
1,0.030438095
1,0.029150877
1,0.03016464
1,0.031191375
1,0.027396105
1,0.030205334
1,0.028510742
1,0.030136367
1,0.029545333
1,0.028726526
1,0.028950792
1,0.027525203
1,0.029710157
1,0.027539492
1,0.03000942
1,0.02850106
1,0.027377171
1,0.028828805
1,0.027496893
1,0.026916277
1,0.027324691
1,0.02802838
1,0.030339098
1,0.02976137
1,0.026131438
1,0.027986066
1,0.029932428
1,0.026943669
1,0.028842257
1,0.02542884
1,0.028839614
1,0.027804479
1,0.026609913
1,0.027384605
1,0.028967448
1,0.02696925
1,0.028797574
1,0.026152285
1,0.02617921
1,0.028377868
1,0.02735886
1,0.026507787
1,0.026119735
1,0.025837306
1,0.0256585
1,0.02582929
1,0.026048936
1,0.026293915
1,0.02763614
1,0.028426258
1,0.02643209
1,0.025824897
1,0.026468918
1,0.024552595
1,0.025465537
1,0.027482878
1,0.025636416
1,0.025576308
1,0.023433968
1,0.02457069
1,0.026044346
1,0.026157245
1,0.025575522
1,0.02655975
1,0.026269231
1,0.025450895
1,0.026284458
1,0.024363298
1,0.025439858
1,0.025369512
1,0.02487415
1,0.023767099
1,0.024620172
1,0.024870552
1,0.024377348
1,0.023446202
1,0.025551567
1,0.024949316
1,0.022152146
1,0.023212321
1,0.023450289
1,0.022035804
1,0.025453113
1,0.022179611
1,0.023457032
1,0.024411544
1,0.023626199
1,0.025156045
1,0.024138402
1,0.02437329
1,0.023127697
1,0.024510453
1,0.022055628
1,0.024271078
1,0.024441212
1,0.023187336
1,0.028333059
1,0.02500238
1,0.023523021
1,0.027282791
1,0.02473645
1,0.026981233
1,0.029508969
1,0.023807712
1,0.0244331
1,0.02576647
1,0.022850571
1,0.025939446
1,0.024601594
1,0.024162497
1,0.024958396
1,0.021561496
