episode,mujoco_steps,brax_steps
0,1000,37
1,1000,108
2,1000,86
3,1000,21
4,1000,7
5,1000,124
6,1000,35
7,1000,42
8,34,12
9,1000,33
10,1000,49
11,1000,22
12,1000,20
13,1000,16
14,1000,8
15,12,20
16,17,8
17,1000,29
18,1000,19
19,1000,23
20,1000,15
21,11,118
22,16,22
23,1000,15
24,12,13
25,28,14
26,80,61
27,16,10
28,28,11
29,10,57
30,1000,78
31,62,57
32,144,19
33,1000,25
34,40,24
35,127,16
36,1000,58
37,1000,47
38,1000,52
39,1000,44
40,1000,34
41,20,60
42,1000,38
43,32,23
44,1000,63
45,49,12
46,294,20
47,1000,211
48,1000,24
49,1000,78
50,15,41
51,1000,81
52,1000,16
53,67,15
54,30,30
55,1000,42
56,1000,69
57,104,10
58,29,44
59,124,32
60,1000,50
61,1000,27
62,12,16
63,18,111
64,39,32
65,1000,38
66,24,21
67,78,16
68,1000,51
69,170,17
70,92,22
71,245,41
72,1000,52
73,1000,28
74,172,33
75,1000,18
76,186,28
77,1000,23
78,37,41
79,1000,118
80,1000,15
81,1000,27
82,246,8
83,78,50
84,158,26
85,1000,45
86,47,48
87,25,33
88,1000,8
89,1000,37
90,53,24
91,112,9
92,11,84
93,13,38
94,1000,58
95,1000,75
96,166,21
97,77,25
98,28,29
99,1000,26
100,93,33
101,41,70
102,51,50
103,72,13
104,80,26
105,29,19
106,83,41
107,58,49
108,27,55
109,99,17
110,1000,28
111,32,19
112,1000,9
113,16,41
114,1000,34
115,23,34
116,148,45
117,1000,29
118,19,106
119,15,50
120,1000,50
121,1000,16
122,324,21
123,345,13
124,48,162
125,1000,18
126,29,46
127,238,16
128,11,20
129,14,56
130,153,9
131,102,13
132,54,78
133,43,12
134,38,14
135,1000,38
136,1000,114
137,15,63
138,18,63
139,57,19
140,30,77
141,1000,16
142,19,18
143,19,106
144,1000,14
145,45,23
146,59,22
147,1000,41
148,13,28
149,47,83
150,18,57
151,20,35
152,16,13
153,30,26
154,18,15
155,90,14
156,40,100
157,1000,30
158,1000,50
159,18,16
160,36,20
161,167,32
162,16,29
163,71,134
164,1000,99
165,90,35
166,56,14
167,1000,20
168,1000,18
169,66,15
170,218,10
171,16,23
172,87,18
173,65,60
174,10,27
175,1000,38
176,68,31
177,1000,57
178,1000,46
179,140,16
180,85,25
181,1000,31
182,39,105
183,51,26
184,85,15
185,1000,20
186,1000,63
187,1000,60
188,1000,15
189,113,22
190,31,26
191,1000,77
192,1000,26
193,23,34
194,650,14
195,68,77
196,1000,34
197,1000,142
198,18,62
199,1000,171
200,26,15
201,58,12
202,19,10
203,112,84
204,53,76
205,18,31
206,192,35
207,50,34
208,1000,27
209,1000,18
210,1000,37
211,1000,69
212,1000,39
213,15,265
214,19,21
215,1000,77
216,94,14
217,38,103
218,1000,74
219,147,33
220,1000,33
221,1000,39
222,1000,6
223,1000,11
224,1000,34
225,1000,51
226,29,61
227,32,21
228,63,17
229,1000,65
230,60,92
231,105,41
232,183,31
233,1000,34
234,1000,25
235,80,54
236,1000,52
237,1000,67
238,1000,28
239,1000,44
240,1000,139
241,63,81
242,1000,55
243,1000,10
244,1000,64
245,1000,45
246,1000,33
247,1000,46
248,1000,74
249,238,29
250,1000,56
251,1000,10
252,1000,101
253,1000,22
254,1000,96
255,1000,20
256,1000,62
257,1000,7
258,1000,41
259,1000,41
260,1000,52
261,236,110
262,1000,92
263,1000,16
264,261,42
265,1000,47
266,1000,47
267,1000,62
268,1000,38
269,1000,60
270,1000,64
271,1000,57
272,1000,92
273,84,11
274,1000,14
275,1000,79
276,1000,182
277,168,21
278,1000,40
279,249,76
280,43,81
281,1000,44
282,33,108
283,1000,51
284,1000,144
285,1000,62
286,1000,34
287,51,16
288,1000,16
289,1000,113
290,1000,25
291,130,43
292,1000,35
293,33,42
294,275,103
295,398,16
296,33,108
297,1000,22
298,1000,155
299,1000,170
