episode,mujoco_steps,brax_steps
0,1000,86
1,1000,70
2,1000,91
3,1000,23
4,1000,82
5,1000,113
6,1000,231
7,1000,97
8,1000,122
9,1000,362
10,1000,54
11,1000,140
12,1000,60
13,1000,39
14,1000,415
15,353,51
16,1000,58
17,616,19
18,535,50
19,1000,123
20,1000,95
21,1000,82
22,1000,89
23,1000,30
24,1000,64
25,467,29
26,1000,59
27,1000,219
28,1000,14
29,1000,15
30,73,59
31,1000,38
32,105,76
33,1000,42
34,1000,244
35,84,70
36,145,38
37,1000,146
38,182,64
39,1000,44
40,1000,10
41,1000,105
42,1000,38
43,581,159
44,489,32
45,52,121
46,592,175
47,528,43
48,22,42
49,138,33
50,281,47
51,612,69
52,1000,16
53,875,64
54,1000,98
55,1000,92
56,123,74
57,254,52
58,327,26
59,617,101
60,1000,139
61,200,27
62,231,66
63,37,23
64,1000,15
65,341,190
66,317,241
67,445,84
68,175,120
69,57,75
70,60,102
71,94,59
72,173,155
73,1000,157
74,81,21
75,1000,165
76,63,102
77,1000,185
78,149,87
79,178,175
80,89,31
81,1000,40
82,184,169
83,69,21
84,1000,20
85,55,91
86,1000,136
87,1000,17
88,45,130
89,1000,16
90,271,146
91,1000,89
92,1000,91
93,48,89
94,1000,246
95,1000,110
96,28,92
97,1000,47
98,134,37
99,107,171
100,59,135
101,861,207
102,1000,85
103,1000,34
104,199,132
105,1000,30
106,1000,110
107,297,833
108,78,219
109,392,701
110,1000,28
111,23,131
112,1000,53
113,1000,382
114,1000,28
115,395,175
116,1000,126
117,598,103
118,77,51
119,1000,193
120,1000,122
121,1000,588
122,1000,901
123,35,33
124,1000,76
125,1000,69
126,1000,203
127,1000,72
128,27,357
129,952,9
130,1000,707
131,450,81
132,101,16
133,315,397
134,1000,40
135,1000,21
136,1000,709
137,20,60
138,613,226
139,1000,245
140,300,80
141,124,352
142,117,216
143,1000,359
144,197,383
145,1000,1000
146,1000,393
147,44,50
148,41,21
149,1000,59
150,173,108
151,211,1000
152,1000,26
153,760,451
154,719,387
155,1000,587
156,1000,80
157,1000,177
158,399,1000
159,25,12
160,955,23
161,389,154
162,1000,505
163,1000,159
164,1000,109
165,1000,177
166,198,62
167,740,179
168,160,21
169,14,37
170,1000,148
171,1000,14
172,74,92
173,1000,883
174,1000,563
