episode,mujoco_steps,brax_steps
0,1000,80
1,1000,32
2,1000,291
3,1000,91
4,1000,222
5,1000,188
6,1000,89
7,1000,76
8,1000,229
9,1000,332
10,1000,65
11,1000,332
12,1000,133
13,1000,278
14,372,19
15,1000,38
16,117,58
17,462,51
18,1000,21
19,1000,51
20,1000,103
21,1000,40
22,976,56
23,1000,66
24,96,40
25,31,30
26,1000,23
27,1000,67
28,249,91
29,1000,66
30,1000,78
31,27,139
32,1000,12
33,1000,38
34,33,144
35,1000,19
36,1000,62
37,1000,16
38,1000,202
39,1000,19
40,23,89
41,1000,21
42,1000,113
43,1000,26
44,1000,124
45,1000,28
46,396,40
47,1000,114
48,1000,104
49,1000,250
50,1000,83
51,208,173
52,1000,29
53,1000,73
54,1000,16
55,1000,254
56,34,49
57,1000,59
58,1000,54
59,1000,227
60,1000,200
61,846,694
62,940,140
63,27,121
64,230,234
65,110,16
66,1000,13
67,1000,53
68,257,127
69,91,347
70,191,187
71,69,427
72,1000,82
73,1000,72
74,1000,125
75,308,92
76,66,162
77,1000,54
78,1000,193
79,368,123
80,34,615
81,298,123
82,321,214
83,313,81
84,1000,267
85,1000,67
86,1000,41
87,1000,733
88,281,126
89,211,252
90,28,90
91,1000,175
92,1000,58
93,620,423
94,46,180
95,1000,108
96,1000,180
97,87,337
98,1000,249
99,51,445
100,1000,54
101,418,112
102,1000,11
103,153,243
104,1000,156
105,1000,22
106,383,226
107,96,71
108,1000,269
109,1000,37
110,255,450
111,262,352
112,661,166
113,156,83
114,1000,705
115,1000,86
116,160,11
117,301,63
118,1000,1000
119,152,396
120,1000,302
121,1000,19
122,1000,164
123,329,241
124,1000,1000
125,262,171
126,89,145
127,709,616
128,44,141
129,58,45
130,1000,291
131,1000,603
132,1000,1000
133,166,178
134,52,110
135,1000,534
136,124,192
137,143,154
138,22,530
139,1000,24
140,197,51
141,517,1000
142,1000,373
143,1000,92
144,30,11
145,1000,350
146,862,120
147,1000,172
148,1000,1000
149,1000,723
150,1000,78
151,1000,36
152,1000,109
153,1000,11
154,75,541
155,514,27
156,1000,98
157,1000,1000
158,125,138
159,1000,164
160,1000,593
161,1000,1000
162,575,415
163,423,135
164,1000,456
165,818,724
166,1000,117
167,1000,19
168,1000,1000
169,598,48
170,1000,1000
171,1000,44
172,505,1000
173,1000,350
174,1000,489
175,1000,31
176,1000,12
177,1000,169
178,1000,69
179,73,692
180,1000,325
181,889,86
182,1000,1000
183,1000,326
184,490,304
185,1000,210
186,1000,128
187,932,426
188,1000,26
189,12,588
190,1000,305
191,1000,409
192,12,1000
193,507,754
194,1000,97
195,393,933
196,1000,382
197,1000,917
198,1000,628
199,817,27
200,1000,189
201,929,23
202,1000,40
203,1000,30
204,1000,66
205,1000,1000
206,1000,248
207,1000,56
208,1000,463
209,1000,200
210,1000,735
211,1000,103
212,1000,241
213,1000,509
214,94,1000
215,1000,251
216,1000,1000
217,1000,756
218,1000,718
219,1000,146
220,1000,187
221,1000,492
222,1000,417
223,77,29
224,1000,140
225,1000,413
226,33,67
227,48,70
228,1000,687
229,73,352
230,1000,252
231,490,26
232,1000,545
233,136,321
234,21,1000
235,1000,1000
236,1000,1000
237,1000,10
238,1000,12
239,206,432
240,1000,451
241,35,236
242,1000,117
243,1000,176
244,1000,991
245,1000,1000
246,188,547
247,1000,109
248,1000,12
249,22,516
250,1000,257
251,379,264
252,27,609
253,1000,318
254,1000,136
255,885,345
256,1000,734
257,1000,20
258,395,48
259,1000,391
260,962,875
261,1000,279
262,1000,286
263,1000,176
264,1000,1000
265,320,158
266,1000,12
267,219,93
268,1000,1000
269,1000,235
270,330,11
271,1000,640
272,349,931
273,11,287
274,1000,565
275,923,405
276,59,185
277,47,1000
278,166,400
279,1000,642
280,69,163
281,1000,288
282,369,244
283,339,931
284,1000,200
285,914,182
286,145,634
287,535,407
288,1000,704
289,1000,141
290,1000,309
291,1000,635
292,128,472
293,87,73
294,1000,805
295,287,294
296,1000,336
297,1000,14
298,1000,130
299,1000,229
300,153,46
301,1000,128
302,1000,1000
303,476,161
304,1000,569
305,11,11
306,1000,49
307,1000,603
308,1000,410
309,1000,692
310,1000,219
311,43,242
312,153,153
313,1000,556
314,911,605
315,724,979
316,1000,355
317,1000,406
318,1000,271
319,1000,586
320,1000,456
321,1000,177
322,739,34
323,1000,626
324,1000,478
325,157,394
326,1000,66
327,1000,1000
328,1000,850
329,1000,80
330,1000,70
331,50,141
332,1000,19
333,1000,676
334,851,257
335,1000,677
336,1000,112
337,1000,358
338,1000,448
339,290,876
340,55,128
341,1000,1000
342,1000,1000
343,1000,657
344,1000,563
