step,mujoco_step_times,brax_step_times
188,4.1961669921875e-05,
189,3.409385681152344e-05,
190,3.600120544433594e-05,
191,3.600120544433594e-05,
192,4.291534423828125e-05,
193,3.504753112792969e-05,
194,3.695487976074219e-05,
195,4.100799560546875e-05,
196,3.62396240234375e-05,
197,3.910064697265625e-05,
198,4.1961669921875e-05,
199,4.00543212890625e-05,
200,4.1961669921875e-05,
201,4.124641418457031e-05,
202,4.100799560546875e-05,
203,4.100799560546875e-05,
204,3.719329833984375e-05,
205,4.410743713378906e-05,
206,4.506111145019531e-05,
207,3.62396240234375e-05,
208,3.62396240234375e-05,
209,3.790855407714844e-05,
210,3.910064697265625e-05,
211,3.504753112792969e-05,
212,5.0067901611328125e-05,
213,4.315376281738281e-05,
214,4.1961669921875e-05,
215,3.886222839355469e-05,
216,4.696846008300781e-05,
217,4.291534423828125e-05,
218,4.1961669921875e-05,
219,4.00543212890625e-05,
220,4.8160552978515625e-05,
221,3.719329833984375e-05,
222,4.1961669921875e-05,
223,4.100799560546875e-05,
224,4.00543212890625e-05,
225,3.504753112792969e-05,
226,3.910064697265625e-05,
227,3.600120544433594e-05,
228,4.100799560546875e-05,
229,3.600120544433594e-05,
230,3.4809112548828125e-05,
231,3.504753112792969e-05,
232,4.410743713378906e-05,
233,4.291534423828125e-05,
234,4.1961669921875e-05,
235,4.1961669921875e-05,
236,4.6253204345703125e-05,
237,0.00016117095947265625,
238,5.316734313964844e-05,
239,4.38690185546875e-05,
240,5.1021575927734375e-05,
241,3.910064697265625e-05,
242,3.814697265625e-05,
243,3.719329833984375e-05,
244,4.00543212890625e-05,
245,4.9114227294921875e-05,
246,4.38690185546875e-05,
247,3.62396240234375e-05,
248,3.910064697265625e-05,
249,3.600120544433594e-05,
250,3.62396240234375e-05,
251,4.482269287109375e-05,
252,3.814697265625e-05,
253,3.790855407714844e-05,
254,3.981590270996094e-05,
255,4.506111145019531e-05,
256,4.506111145019531e-05,
257,4.482269287109375e-05,
258,3.62396240234375e-05,
259,4.1961669921875e-05,
260,3.886222839355469e-05,
261,3.886222839355469e-05,
262,3.6716461181640625e-05,
263,3.910064697265625e-05,
264,4.100799560546875e-05,
265,4.696846008300781e-05,
266,3.504753112792969e-05,
267,3.528594970703125e-05,
268,3.600120544433594e-05,
269,3.504753112792969e-05,
270,4.00543212890625e-05,
271,3.504753112792969e-05,
272,4.7206878662109375e-05,
273,3.600120544433594e-05,
274,3.814697265625e-05,
275,3.600120544433594e-05,
276,3.504753112792969e-05,
277,4.38690185546875e-05,
278,3.6716461181640625e-05,
279,3.981590270996094e-05,
280,3.814697265625e-05,
281,4.100799560546875e-05,
282,3.695487976074219e-05,
283,3.5762786865234375e-05,
284,0.0001049041748046875,
285,0.00013327598571777344,
286,5.507469177246094e-05,
287,4.887580871582031e-05,
288,4.601478576660156e-05,
289,4.00543212890625e-05,
290,4.601478576660156e-05,
291,4.57763671875e-05,
292,4.601478576660156e-05,
293,4.482269287109375e-05,
294,5.316734313964844e-05,
295,4.57763671875e-05,
296,4.1961669921875e-05,
297,4.506111145019531e-05,
298,4.315376281738281e-05,
299,4.100799560546875e-05,
300,3.981590270996094e-05,
301,4.315376281738281e-05,
302,4.315376281738281e-05,
303,4.1961669921875e-05,
304,4.8160552978515625e-05,
305,4.506111145019531e-05,
306,4.291534423828125e-05,
307,3.600120544433594e-05,
308,4.00543212890625e-05,
309,4.38690185546875e-05,
310,4.38690185546875e-05,
311,3.981590270996094e-05,
312,4.00543212890625e-05,
313,3.409385681152344e-05,
314,3.719329833984375e-05,
315,4.076957702636719e-05,
316,3.504753112792969e-05,
317,4.410743713378906e-05,
318,4.1961669921875e-05,
319,3.600120544433594e-05,
320,3.910064697265625e-05,
321,3.910064697265625e-05,
322,3.790855407714844e-05,
323,3.6716461181640625e-05,
324,4.291534423828125e-05,
325,3.981590270996094e-05,
326,4.506111145019531e-05,
327,4.291534423828125e-05,
328,4.315376281738281e-05,
329,4.1961669921875e-05,
330,3.504753112792969e-05,
331,4.100799560546875e-05,
332,5.173683166503906e-05,
333,4.673004150390625e-05,
334,5.507469177246094e-05,
335,3.886222839355469e-05,
336,4.1961669921875e-05,
337,4.00543212890625e-05,
338,4.076957702636719e-05,
339,4.1961669921875e-05,
340,3.409385681152344e-05,
341,4.076957702636719e-05,
342,4.100799560546875e-05,
343,3.6716461181640625e-05,
344,3.886222839355469e-05,
345,3.62396240234375e-05,
