episode,mujoco_steps,brax_steps
0,1000,138
1,1000,223
2,1000,410
3,1000,250
4,1000,138
5,1000,182
6,1000,110
7,1000,36
8,1000,128
9,1000,247
10,1000,41
11,1000,88
12,1000,81
13,1000,121
14,697,24
15,70,48
16,1000,38
17,154,15
18,1000,18
19,1000,25
20,1000,148
21,1000,100
22,1000,161
23,1000,18
24,1000,74
25,1000,110
26,1000,72
27,1000,145
28,1000,93
29,1000,92
30,1000,25
31,1000,39
32,1000,51
33,1000,30
34,1000,45
35,1000,82
36,798,40
37,1000,122
38,1000,41
39,116,105
40,406,73
41,1000,483
42,1000,133
43,1000,85
44,1000,161
45,1000,101
46,1000,28
47,67,33
48,1000,62
49,1000,23
50,1000,201
51,211,86
52,1000,163
53,1000,60
54,189,28
55,141,52
56,83,101
57,72,67
58,139,81
59,1000,29
60,51,15
61,1000,36
62,455,19
63,88,22
64,476,75
65,229,131
66,224,76
67,34,35
68,128,11
69,105,50
70,88,36
71,859,20
72,261,68
73,39,26
74,1000,58
75,1000,151
76,62,12
77,110,154
78,81,34
79,1000,58
80,467,19
81,164,69
82,21,30
83,1000,131
84,101,73
85,247,32
86,832,59
87,245,8
88,115,82
89,1000,41
90,730,45
91,303,12
92,1000,17
93,27,72
94,1000,61
95,200,43
96,1000,241
97,1000,45
98,580,70
99,194,22
100,1000,232
101,1000,22
102,191,65
103,237,10
104,1000,8
105,135,59
106,89,130
107,803,42
108,1000,24
109,42,41
110,439,11
111,340,35
112,235,21
113,219,10
114,688,59
115,426,70
116,1000,85
117,1000,18
118,144,78
119,147,84
120,345,12
121,229,92
122,294,41
123,99,46
124,212,61
125,1000,271
126,30,17
127,23,7
128,1000,16
129,72,69
130,308,41
131,190,71
132,58,72
133,1000,65
134,611,57
135,28,288
136,75,159
137,348,69
138,600,224
139,1000,230
140,45,63
141,73,19
142,220,53
143,217,158
144,1000,115
145,27,10
146,141,68
147,917,108
148,117,193
149,1000,140
150,1000,438
151,50,296
152,422,37
153,414,44
154,44,232
155,1000,82
156,383,43
157,542,136
158,573,91
159,36,208
160,84,149
161,1000,53
162,451,71
163,1000,15
164,379,132
165,737,240
166,23,205
167,1000,16
168,587,13
169,659,13
170,152,96
171,61,57
172,1000,52
173,831,236
174,92,227
175,1000,17
176,577,40
177,700,16
178,320,169
179,1000,38
180,941,82
181,67,209
182,209,60
183,361,54
184,139,87
185,305,117
186,784,385
187,86,43
188,1000,16
189,1000,68
190,56,28
191,1000,137
192,155,21
193,554,28
194,114,71
195,243,72
196,97,71
197,533,414
198,34,313
199,894,952
200,937,24
201,1000,43
202,139,35
203,966,79
204,410,133
205,20,123
206,271,41
207,57,96
208,417,65
209,119,43
210,260,62
211,335,140
212,626,278
213,410,12
214,182,58
215,40,79
216,596,33
217,1000,32
218,88,54
219,757,46
220,109,130
221,389,45
222,156,871
223,118,165
224,1000,61
225,47,159
226,255,11
227,178,264
228,1000,25
229,1000,34
230,1000,153
231,85,118
232,743,42
233,252,112
234,39,188
235,165,186
236,302,25
237,69,41
238,38,82
239,82,143
240,810,33
241,29,32
242,1000,240
243,1000,39
244,203,166
245,201,73
246,152,148
247,44,60
248,278,130
249,39,16
250,1000,20
251,219,34
252,105,90
253,99,80
254,373,19
255,40,18
256,785,79
257,603,32
258,126,204
259,93,76
260,1000,73
261,45,129
262,243,310
263,214,94
264,321,658
265,1000,147
266,411,70
267,38,63
268,1000,72
269,594,72
270,712,50
271,32,336
272,87,129
273,117,126
274,30,13
275,239,92
276,66,71
277,206,15
278,880,268
279,45,339
280,618,78
281,370,47
282,113,34
283,151,240
284,435,22
285,1000,44
286,151,82
287,1000,24
288,405,64
289,1000,138
290,1000,84
291,72,365
292,100,145
293,37,60
294,25,109
295,49,57
296,42,188
297,252,142
298,1000,283
299,342,104
300,392,617
301,563,10
302,88,32
303,985,317
304,90,409
305,1000,412
306,43,48
307,1000,142
308,24,59
309,101,127
310,48,390
311,87,80
312,117,229
313,715,22
314,182,32
315,114,62
316,42,121
317,232,157
318,132,69
319,256,324
320,369,72
321,822,196
322,255,76
323,1000,13
324,647,199
325,19,10
326,13,38
327,1000,83
328,33,97
329,94,178
330,34,110
331,351,29
332,41,76
333,588,442
334,472,37
335,60,13
336,109,13
337,669,17
338,303,62
339,1000,94
340,191,121
341,165,20
342,1000,36
343,60,112
344,87,117
345,405,111
346,22,25
347,90,57
348,271,23
349,480,437
350,242,85
351,24,204
352,50,281
353,1000,150
354,390,464
355,333,166
356,793,1000
357,209,331
358,327,254
359,96,39
360,248,46
361,1000,574
362,86,496
363,755,200
364,965,38
365,505,17
366,148,24
367,159,24
368,198,202
369,74,238
370,80,82
371,621,51
372,154,344
373,149,134
374,551,101
375,104,132
376,1000,102
377,1000,1000
378,356,15
379,120,900
380,84,138
381,111,183
382,80,45
383,735,96
384,161,78
385,350,94
386,581,13
387,111,459
388,144,76
389,929,502
390,128,98
391,95,391
392,364,13
393,80,62
394,77,32
395,178,35
396,100,273
397,255,29
398,1000,118
399,1000,1000
400,720,58
401,219,122
402,52,315
403,192,389
404,119,204
405,191,159
406,619,43
407,244,257
408,311,362
409,1000,31
410,1000,272
411,74,310
412,288,73
413,49,127
414,1000,34
415,200,24
416,1000,144
417,254,72
418,152,414
419,217,177
420,407,64
421,166,24
422,37,13
423,100,195
424,252,74
425,19,225
426,1000,172
427,466,92
428,337,70
429,111,12
430,61,164
431,489,44
432,155,145
433,380,79
434,214,33
435,39,43
436,918,24
437,276,33
438,882,271
439,113,44
440,284,11
441,87,12
442,59,142
443,1000,71
444,120,57
445,590,181
446,164,29
447,164,269
448,431,76
449,198,61
450,445,19
451,1000,231
452,1000,96
453,294,93
454,88,229
455,88,316
456,40,364
457,60,78
458,315,26
459,1000,171
460,1000,315
461,167,25
462,47,30
463,79,63
464,202,29
465,36,60
466,296,116
467,109,46
468,60,101
469,186,73
470,371,58
471,80,15
472,121,227
473,79,24
474,215,28
475,146,62
476,54,31
477,1000,38
478,20,178
479,46,233
480,529,237
481,203,18
482,657,119
483,13,386
484,152,28
485,182,88
486,697,24
487,399,100
488,287,148
