episode,mujoco_reward,brax_reward
0,-9.720741680233374,45.688873823986796
1,-10.310258137373289,44.05344437860185
2,-9.440791482778145,43.30160698486725
3,-12.15803139215323,45.645584686175425
4,-6.688001881153822,49.13643790365313
5,-9.954408315901485,50.44203108458896
6,-9.123880064772376,40.950697607064285
7,-6.327937774765047,45.70963001729979
8,-181.90976118925687,-503.44581734377425
9,-166.29406105505748,-677.310134362895
10,-126.5475687955265,-204.00791399180434
11,-286.28140464440946,-236.72522110072896
12,-166.06296248949897,-137.1961145834066
13,-34.93889245733587,-493.6966775325127
14,-111.89488849712062,-219.97462969727349
15,-155.6074700666584,-101.79099211437278
16,-95.4468700429752,-71.32089663934312
17,-64.80018375198115,-114.60777851828607
18,-28.190158254322657,29.168550442231208
19,-117.12064200221923,-9.603325076212059
20,-90.91358246316868,43.46303831555997
21,-216.31462203831066,112.68456156180764
22,-184.8200743579408,-11.916522793282638
23,-10.17265642179094,-10.407336594274966
24,-87.3537938555504,-85.32177950242112
25,-52.04710461505833,-63.71920753776794
26,-90.53167121317435,-72.92333159165719
27,-53.07964577561391,-75.34386460777023
28,-31.741994416568346,21.99799510629964
29,-77.16125403925672,30.306018945633696
30,-12.364809560263684,-6.761848751833895
31,7.090796134706856,102.93724627612391
32,39.16678769292566,68.04370482719969
33,771.4597311039292,756.1917882612906
34,179.4245293239345,18.13621176063316
35,118.15773775467562,226.30066021205857
36,172.75350431626478,1133.0857211071998
37,223.53828464806594,301.63275700827944
38,450.80939747655384,541.8967288553249
39,58.86315676935577,194.66295788395655
40,1495.9654851372386,1466.7492943294346
41,1423.5339714172833,1420.8223154358566
42,1525.0151511341548,1538.587645214051
43,1508.3167130489703,1448.6060730358586
44,1703.8731738222227,1624.2759525533766
45,1722.437046686163,1667.5579363368452
46,1721.2389372535008,1587.4837478809059
47,1712.7204562748377,794.3322120332159
48,1808.554943939298,1711.282598335296
49,1887.0434618502054,1901.059331090888
50,1863.9740159663763,1892.4080345574766
51,2002.9622585359784,1941.1880601195153
52,2007.008367754515,1774.0067265396938
53,1993.1594028322343,1724.43921158975
54,1983.7187530589108,1951.6507752239704
55,2082.970801200834,1888.6023741330719
56,2074.1423440883427,2067.4345076680183
57,2039.2394843970844,2209.261441960931
58,2162.028223397219,2183.4138069190085
59,2368.797799148497,2342.0853020418435
60,2274.7765820570703,2161.4293177267537
61,2293.3972787033094,2269.3012553676963
62,2448.2095442788377,2410.983894985169
63,2327.8954425714355,1598.0781625019154
64,2394.827262502925,380.5569453619537
65,2387.944873515347,1523.3279912921134
66,2334.2922904137376,2259.6408603452146
67,2461.9301076760653,2357.0723145604134
68,2412.2743480509753,2226.462403339683
69,2541.1614868639986,2510.638290083036
70,2505.160925685955,2518.949715103954
71,2434.2551876186744,2610.8867214657366
72,2545.4630044811124,2773.401360842632
73,2619.5521411081227,2747.7478911289945
74,2656.1545933129282,2753.7119063790888
75,2607.916900536929,2759.8094828650355
76,2781.337945524231,2778.551694702299
77,2787.3386246440323,2908.070951240952
78,2801.2788780085857,2911.3035762766376
79,2724.2190749733604,2910.91232639784
80,2791.4053382703555,2939.5095171518624
81,2754.257436155293,1363.6841701237136
82,2770.8185001103016,3017.3675984232686
83,2721.92224198553,1191.0159150930122
84,2809.811826641892,2734.5573486089706
85,2893.586809763475,2921.729236111045
86,3018.3159782580233,2943.5712888352573
87,2939.4927372205334,2870.7473110184073
88,2903.8289738579915,3022.73898570193
89,3071.7889391895455,482.10098525322974
90,2990.564212523723,3092.2205444574356
91,3026.7759243735513,3045.51293765381
92,2926.81296724587,3122.665362093132
93,2869.8409697579364,3103.7640038933605
94,2860.1390568878405,3088.101903444156
95,2949.4908143574776,3094.48564530164
96,2784.496280695983,3051.535445308313
97,2947.151643653538,3010.443070448935
98,3100.7953826742246,3307.595792309381
99,3011.367194181736,3093.01666162163
100,3080.2289725328083,3292.9900785740465
101,3050.0822814680178,3384.3852215111256
102,2957.681992603413,3483.9819958861917
103,3078.7794049398353,3120.891939693596
104,3067.5005670783116,3291.337564664602
105,2972.677693515926,3443.071904055774
106,3142.015161004905,3443.9982121046633
107,3119.483926797975,-167.15209802420463
108,2930.207926162805,3471.977321936749
109,3075.7516972473277,3604.8605296313763
110,2947.275481790977,3676.659252025187
111,3170.074659222243,3714.6467958688736
112,3106.865108154423,3763.9055321142077
113,2935.173770886633,3207.824557803571
114,3008.3501436544348,3617.1461556628346
115,3055.0595327307965,3649.2572638094425
116,3038.339944935976,3423.477856133133
117,2894.8652026132672,3801.5379303991795
