episode,mujoco_steps,brax_steps
0,1000,303
1,1000,17
2,1000,321
3,1000,402
4,1000,111
5,1000,270
6,1000,142
7,1000,99
8,1000,510
9,1000,109
10,1000,27
11,1000,141
12,1000,70
13,1000,221
14,151,69
15,1000,56
16,246,59
17,359,15
18,1000,134
19,1000,122
20,1000,56
21,1000,218
22,1000,260
23,103,57
24,548,117
25,12,63
26,1000,25
27,1000,26
28,1000,39
29,1000,74
30,1000,18
31,1000,74
32,246,64
33,379,32
34,386,58
35,118,43
36,1000,75
37,1000,50
38,1000,66
39,1000,51
40,217,50
41,216,65
42,1000,22
43,1000,46
44,1000,120
45,1000,76
46,1000,42
47,1000,45
48,1000,69
49,1000,82
50,1000,57
51,1000,315
52,1000,17
53,543,105
54,1000,78
55,1000,143
56,334,45
57,1000,26
58,1000,80
59,536,38
60,1000,112
61,170,15
62,1000,27
63,93,87
64,1000,59
65,1000,58
66,402,44
67,1000,69
68,1000,118
69,1000,21
70,1000,119
71,75,66
72,1000,33
73,50,13
74,528,16
75,1000,99
76,337,42
77,1000,82
78,158,48
79,1000,39
80,1000,131
81,90,72
82,98,66
83,1000,24
84,1000,36
85,232,63
86,161,26
87,1000,52
88,1000,104
89,1000,98
90,1000,48
91,37,61
92,68,33
93,197,89
94,1000,31
95,1000,29
96,562,66
97,1000,43
98,1000,11
99,1000,12
100,1000,21
101,58,225
102,1000,105
103,1000,68
104,1000,41
105,1000,162
106,158,75
107,1000,10
108,1000,18
109,1000,13
110,1000,51
111,19,40
112,68,24
113,1000,28
114,1000,21
115,1000,226
116,1000,54
117,195,27
118,94,22
119,111,270
120,143,51
121,1000,134
122,58,93
123,1000,146
124,1000,73
125,123,11
126,1000,235
127,1000,26
128,1000,41
129,1000,98
130,215,76
131,1000,107
132,1000,32
133,1000,68
134,88,124
135,1000,82
136,28,79
137,27,33
138,1000,48
139,130,11
140,1000,77
141,1000,40
142,1000,44
143,250,59
144,503,20
145,1000,102
146,1000,39
147,107,82
148,12,183
149,44,28
150,129,90
151,400,90
152,1000,55
153,1000,86
154,1000,31
155,254,87
156,1000,71
157,313,172
158,1000,54
159,445,31
160,626,30
161,454,35
162,323,261
163,1000,28
164,21,40
165,1000,165
166,129,31
167,1000,33
168,1000,52
169,28,44
170,195,39
171,133,71
172,1000,100
173,35,24
174,36,10
175,51,63
176,295,70
177,20,140
178,237,68
179,20,49
180,134,31
181,1000,43
182,248,25
183,1000,53
184,171,69
185,1000,8
186,439,20
187,121,121
188,593,70
189,464,37
190,559,59
191,638,34
192,92,49
193,1000,272
194,1000,25
195,1000,73
196,1000,95
197,1000,18
198,760,40
199,1000,46
200,1000,134
201,180,15
202,56,37
203,1000,45
204,539,102
205,230,32
206,1000,17
207,469,10
208,1000,48
209,1000,20
210,335,16
211,294,25
212,60,17
213,891,208
214,73,50
215,1000,21
216,1000,41
217,1000,240
218,432,34
219,1000,139
220,1000,315
221,1000,30
222,1000,22
223,1000,19
224,253,43
225,1000,114
226,1000,23
227,1000,141
228,1000,242
229,1000,64
230,889,154
231,87,17
232,246,93
233,1000,103
234,1000,30
235,340,34
236,1000,27
237,1000,22
238,1000,27
239,136,145
240,766,150
241,1000,11
242,1000,76
243,189,23
244,493,40
245,1000,221
246,771,257
247,1000,27
248,191,68
249,404,51
250,123,99
251,195,38
252,1000,251
253,1000,84
254,1000,53
255,1000,51
256,1000,33
257,1000,27
258,1000,56
259,1000,186
260,1000,11
261,1000,119
262,1000,99
263,1000,65
264,1000,21
265,1000,67
266,62,75
267,223,126
268,1000,117
269,1000,128
270,323,33
271,1000,37
272,101,58
273,204,16
274,1000,23
275,1000,10
276,254,124
277,1000,80
278,1000,43
279,538,22
280,269,11
281,1000,84
282,1000,26
283,1000,44
284,850,10
285,1000,26
286,1000,62
287,80,91
288,8,11
289,10,178
290,1000,21
291,1000,90
292,1000,13
293,254,18
294,1000,121
295,23,22
296,1000,149
297,1000,107
298,1000,25
299,1000,26
300,1000,15
301,1000,106
302,1000,12
303,90,34
304,130,54
305,1000,12
306,1000,30
307,12,14
308,137,96
309,820,20
310,695,42
311,1000,125
312,1000,409
313,303,16
314,347,218
315,1000,75
316,1000,194
317,37,17
318,1000,41
319,1000,17
320,237,53
321,522,11
322,43,64
323,653,41
324,35,11
325,448,85
326,46,12
327,1000,66
328,668,17
329,68,26
330,853,50
331,1000,12
332,10,71
333,552,20
334,869,10
335,1000,60
336,1000,18
337,460,10
338,312,39
339,1000,161
340,1000,280
341,515,16
342,1000,17
343,770,13
344,365,20
345,1000,75
346,1000,19
347,34,187
348,957,76
349,1000,11
350,1000,109
351,1000,36
352,448,13
353,1000,10
354,1000,26
355,262,131
356,1000,316
357,1000,47
358,914,90
359,1000,223
360,1000,71
361,203,52
362,496,114
363,1000,63
364,13,64
365,741,94
366,1000,143
367,1000,54
368,490,10
369,838,16
370,11,124
371,648,12
372,1000,40
373,57,54
374,1000,35
375,815,42
376,1000,80
377,1000,32
378,1000,26
379,1000,64
380,1000,114
381,1000,23
382,1000,77
383,244,32
384,241,15
385,1000,13
386,194,28
387,1000,51
388,1000,106
389,1000,12
390,505,12
391,1000,228
392,287,62
393,701,26
394,466,101
395,1000,106
396,350,57
397,593,15
398,569,39
399,1000,13
400,1000,31
401,617,42
402,1000,65
403,28,12
404,605,73
405,1000,36
406,487,133
407,1000,28
408,1000,15
409,1000,11
410,586,59
411,29,32
412,1000,24
413,1000,57
414,1000,40
415,106,12
416,1000,15
417,21,105
418,755,152
419,1000,28
420,1000,20
421,1000,11
422,523,10
423,1000,71
424,974,34
425,36,37
426,1000,115
427,1000,94
428,1000,168
429,364,50
430,872,49
431,1000,10
432,1000,29
433,304,26
434,1000,23
435,622,75
436,1000,29
437,41,58
438,1000,46
439,655,106
440,1000,30
441,1000,17
442,363,13
443,1000,33
444,159,88
445,110,23
446,1000,108
447,1000,107
448,1000,226
449,1000,37
450,1000,53
451,1000,21
452,1000,109
453,1000,122
