episode,mujoco_reward,brax_reward
0,918.1852693031587,85.18123227357864
1,959.1458246465802,36.00401817262173
2,994.377417923994,1032.295520361513
3,-1003.3421312268568,-2.2900549173355103
4,-765.6338841878735,-10.496400117874146
5,128.56391227499918,-4.241838574409485
6,123.53350130372502,-9.671609818935394
7,767.4397682332267,5.8608070611953735
8,745.1617664538161,63.05494949221611
9,900.1202715306896,43.475532948970795
10,952.3795157530576,221.12034119665623
11,770.3584833043765,99.85236743092537
12,571.6283078025111,36.592517256736755
13,918.7526419612905,12.322745591402054
14,812.1844012488573,2.91200190782547
15,919.3385038126708,54.54295925796032
16,519.1635929084935,62.40342378616333
17,415.1273463985486,8.32369077205658
18,111.1879576042508,59.93496634066105
19,400.7527721726737,87.15347264707088
20,637.0229964466139,10.555580198764801
21,724.4280367072546,9.754439562559128
22,58.42377614410688,55.37128692865372
23,720.796256383006,152.76536679267883
24,666.662183545071,80.18203043937683
25,26.444170327638584,236.16817797720432
26,899.3401888158543,20.650741010904312
27,609.7799903913295,93.2649817019701
28,455.81870126519703,101.11425510048866
29,461.17858208915095,256.282174885273
30,706.5883036240809,87.18144810199738
31,1021.5255264264259,8.819791555404663
32,529.9822498337309,64.12225812673569
33,1031.7898436550227,27.393066197633743
34,721.6111704650494,56.577423095703125
35,288.64432568285633,9.708100199699402
36,964.3004557934984,39.14592707157135
37,59.01585529783848,158.5130034983158
38,241.8770274202746,10.157821595668793
39,661.5444992525705,37.894236862659454
40,901.8817705432339,15.519478589296341
41,386.5041895337507,48.85387188196182
42,371.8646195647699,79.27677816152573
43,96.00884144047883,233.10281080007553
44,248.4262355933834,36.90885171294212
45,250.0889584660607,171.43676881492138
46,278.6868066019067,115.91914096474648
47,108.37869100186688,225.93670676648617
48,458.86979896029527,45.89737445116043
49,250.62380190689075,61.41560739278793
50,301.12781721287797,21.492530703544617
51,67.48043207211406,179.72104847431183
52,-712.6136796827138,83.11842846870422
53,384.7703810680081,93.7892629802227
54,167.07947175025626,133.79544055461884
55,158.72608330536602,7.536649942398071
56,647.8990864463698,86.80649614334106
57,-223.93042541697866,269.53873896598816
58,213.39598715881564,65.70448982715607
59,71.7468544709311,78.13269203901291
60,-421.64238242156694,251.0634115934372
61,877.4925736860392,100.51324510574341
62,113.98332224771289,143.37557697296143
63,414.11175282745074,182.60460750758648
64,805.7983503858219,174.32073052227497
65,737.5544389626214,335.8254020214081
66,64.967178279623,171.96957921981812
67,1495.4098118528905,128.5541047602892
68,451.39916964582255,55.34317648410797
69,195.2814272661188,171.9012522995472
70,997.6085353373928,49.21891760826111
71,1675.4982327600244,214.57951785624027
72,1243.7922513263843,20.108787178993225
73,61.124017600442315,312.987316519022
74,181.0421740275817,77.12124705314636
75,506.71154703219986,70.98124220967293
76,189.43019696289767,98.4169420003891
77,249.3246023168686,58.81513857841492
78,39.42287222651449,168.55899757146835
79,61.89559550409819,55.78274604678154
80,385.44738386073266,318.40047186613083
81,425.06152824129146,11.685713708400726
82,256.1522894840977,82.37338721752167
83,173.07333673496137,89.41040581464767
84,493.10592971745587,59.483918726444244
85,1436.1587726350194,80.91747665405273
86,384.6326026077229,25.566481292247772
