episode,mujoco_steps,brax_steps
0,1000,25
1,1000,25
2,1000,88
3,1000,195
4,1000,21
5,1000,39
6,1000,32
7,1000,193
8,1000,14
9,177,38
10,51,9
11,9,10
12,1000,8
13,1000,12
14,1000,31
15,114,16
16,1000,30
17,155,15
18,1000,43
19,556,33
20,154,20
21,1000,63
22,1000,44
23,1000,52
24,1000,55
25,1000,116
26,1000,35
27,70,33
28,93,156
29,1000,42
30,1000,26
31,67,102
32,1000,17
33,1000,98
34,33,37
35,1000,72
36,42,68
37,1000,144
38,54,48
39,1000,15
40,1000,41
41,103,63
42,1000,36
43,1000,86
44,1000,72
45,1000,39
46,1000,91
47,1000,66
48,1000,81
49,1000,218
50,1000,154
51,1000,61
52,1000,128
53,1000,23
54,1000,46
55,663,22
56,1000,22
57,1000,32
58,56,41
59,1000,75
60,1000,25
61,24,86
62,1000,31
63,1000,21
64,62,18
65,1000,9
66,1000,194
67,1000,36
68,329,26
69,1000,36
70,1000,98
71,16,156
72,1000,27
73,1000,276
74,1000,117
75,1000,46
76,1000,58
77,60,148
78,1000,68
79,1000,46
80,1000,57
81,1000,41
82,1000,22
83,1000,131
84,1000,88
85,1000,115
86,1000,163
87,1000,45
88,1000,14
89,1000,46
90,1000,22
91,274,7
92,1000,16
93,1000,52
94,122,87
95,161,19
96,1000,22
97,41,168
98,1000,132
99,725,235
100,1000,15
101,1000,28
102,28,136
103,146,57
104,1000,68
105,1000,16
106,1000,109
107,658,39
108,167,123
109,1000,33
110,296,51
111,205,30
112,1000,89
113,1000,181
114,1000,36
115,391,151
116,29,22
117,1000,295
118,1000,51
119,1000,54
120,156,69
121,1000,67
122,1000,68
123,629,72
124,1000,61
125,134,157
126,1000,252
127,1000,39
128,1000,78
129,1000,273
130,1000,200
131,89,135
132,1000,79
133,1000,13
134,1000,100
135,1000,236
136,1000,22
137,1000,140
138,560,85
139,1000,68
140,1000,111
141,1000,109
142,820,66
143,1000,247
144,159,8
145,830,74
146,43,97
147,1000,228
