episode,instance_0_reward,instance_1_reward
212,1157.7225952887977,2969.1555717922747
213,1156.198358756303,2930.6445530653
214,1200.1796536304705,2724.6831358905183
215,1181.253606254056,2916.9840772747993
216,1223.053311333954,2949.6945403926075
217,1146.9661719796586,2885.193613672629
218,1265.0905192328846,2826.030747823417
219,1359.8498521042875,2927.301428563893
220,1200.9197733002902,2980.2705881148577
221,1244.876999337368,2918.493557266891
222,1247.1401399665401,2954.929550682893
223,1311.2133917924623,3031.7556259334087
224,1300.857900394643,3015.077342333272
225,1149.4882538001298,2984.3939924687147
226,1208.5227424714453,2816.6980994343758
227,1275.2700155210805,3062.791073936969
228,1242.329774457103,2909.1556221116334
229,1246.9880645812073,2985.1604087501764
230,1192.559776739686,3010.133429210633
231,1269.074267454499,3026.645471867174
232,1172.2689544806417,2964.1655889023095
233,1282.7165058307235,2958.7666023755446
234,1232.1788771635847,2946.24629671406
235,1186.1490634576198,2982.332414314151
236,1248.468782108507,3028.2477612560615
237,1237.8950193692222,3040.652404382825
238,1274.0546376356742,3018.8789795190096
239,1230.70167251245,3032.9894651845098
240,1133.5457256199195,3075.6925523597747
241,1203.5957098931967,2833.3423600408714
242,1215.857808406237,3039.745428957045
243,1236.8332648928817,2988.5960805416107
244,1301.4951474190848,3078.9660127721727
245,1230.4866324788686,2773.7002125792205
246,1188.6833303153942,2747.344738729298
247,1267.3255830537464,3109.621303100139
248,1269.9322004277797,3126.3865651525557
249,1317.3496740787184,3032.1888648575405
250,1282.3705498961594,3094.1650097961538
251,1264.1282620212605,3118.1310520228
252,1162.9043611940197,2872.3187037855387
253,1177.1450639834827,2952.171400560066
254,1302.4518717707542,3091.4781163912266
255,1304.540848585146,3112.197880387306
256,1336.5264396137486,2923.220856513828
257,1302.932488886418,2948.902825428173
258,1317.9864798709534,2929.2800766164437
259,1249.708476358358,2942.4423424997367
260,1226.5527329464358,2957.7916614394635
261,1265.6945198915278,2936.6658253371716
262,1162.0948291420802,2821.433505088091
263,1225.0668391650465,3051.7240107301623
264,1294.0556203378833,2984.57924756009
265,1224.102733349484,2898.884882748127
266,1280.2732938242445,3116.7730271294713
267,1355.600497674674,2823.954764869064
268,1269.39361825286,2846.047422701493
269,1189.9545273242766,3122.695078931749
270,1216.0551714277522,3154.7067613340914
271,1250.634382511008,3152.526096560061
272,1197.8525149844882,3205.402708157897
273,1335.040270862431,2891.498804709874
274,1297.3642740653413,2999.6972292922437
275,1237.8436342648824,3068.6949379891157
276,1173.8084833092482,3134.070610294817
277,1213.2095734670575,3149.394313868135
278,1183.7257476044017,3068.1653594449162
279,1227.038883661074,3236.9742381237447
280,1252.381530948854,3034.4952425919473
281,1305.3721179360111,3148.8412413960323
282,1313.5389429154043,3254.7269975095987
283,1198.3196688675375,3303.139966706629
284,1356.2790121296837,3140.9619250893593
285,1315.9358443073083,3335.5324842166156
286,1286.6228309495473,3053.36501740478
287,1127.2372136190404,3283.5829230584204
288,1248.734626244723,3128.538125576917
289,1292.844886108729,3180.442750554532
290,1196.4648278170746,3273.6784046096727
291,1218.5440596367966,3272.886865928769
292,1216.6116530122913,3275.1078927069902
293,1276.4643818555357,3115.5879881661385
294,1295.9711714556968,3325.0090821646154
295,1255.8944805783383,3255.0880354400724
296,1234.9621954084726,2961.4040156508563
297,1173.466990830385,3259.7861487362534
298,1194.539384259513,3368.4762260327116
299,1172.196265938288,3415.2365498170257
300,1227.0008848077575,3176.3036201228388
301,1145.0462284283947,3364.8558491747826
302,1175.6352778577552,3215.4814138114452
303,1237.9938276956932,3359.687281034887
304,1126.467362834579,3258.8835487235337
305,1069.522723520625,3475.6930355131626
306,1182.1243197594245,3308.9238194990903
307,1138.3306043148273,3456.0918568857014
308,1205.513602641728,3336.438706314191
309,1103.3346599997228,3492.548389028758
310,1165.28510336475,3215.22049079556
311,1176.6224615283409,3271.688152026385
312,1111.9836860524465,3408.384041674435
313,1216.3108009635882,3506.308658286929
314,1184.7604511055065,3553.668483287096
315,1176.0386995117758,3437.5599568705074
316,1206.9318006198928,3193.857442840934
317,1152.8568245363563,3544.172509010881
318,1316.990240233093,3501.603286035359
319,1136.3192693220437,3344.876420855522
320,1268.134134818101,3402.6228608740494
321,1113.9207940168017,3482.2043260606006
322,1212.739673063477,3161.402510860935
323,1271.0950212356547,3306.9379171663895
324,1220.7661972590759,3534.99851154536
325,1234.7824568575597,3572.4799926579
326,1178.7845443900205,3529.0149824395776
327,1192.0015009734257,3255.8576819375157
328,1247.5366042035114,3487.0906365849078
329,1245.6611920387907,3289.3792491704226
330,1269.0930088158614,3280.776871908456
331,1286.6120420040852,3575.5049958080053
332,1302.519994390531,3574.6565889213234
333,1222.6595482516436,3496.63898502104
334,1153.2530948885224,3564.823387686163
335,1165.319075457888,3615.42886768654
336,1278.7169668021593,3365.6692492440343
337,1103.4109464957446,3583.608348213136
338,1222.726629132609,3274.206080126576
339,1030.7042091394173,3555.5194815583527
340,1116.7481723878752,3584.5721226716414
341,1134.7326617225076,3634.8372529535554
342,1004.3750716715249,3593.5525291655213
343,1125.8544222928147,3697.219077575952
344,1127.0953049798738,3602.4436941742897
345,1152.8864159215286,3668.270614102483
346,1152.5759784476913,3661.6342051699758
347,1192.130133007576,3416.1369963139296
348,1277.3644175717145,3627.1032375469804
349,1121.599328843505,3623.399907797575
350,1188.0793789741751,3679.846225932706
351,1212.3633310218795,3674.5879093892872
352,1303.4873187598096,3598.3847069591284
353,1205.0711705374727,3637.811473041307
354,1212.6167993279896,3619.011896774173
355,1244.4793315335637,3691.243088214658
356,1119.8656751701665,3364.806312815286
357,1430.12715201251,3761.2269339170307
358,1317.3083533621939,3470.2610172084533
359,1189.1373224844792,3383.285959179979
360,1147.8529800542535,3723.82085313648
361,1298.2639410654604,3796.3090322930366
362,1311.5457722735862,3719.069557003677
363,1339.2451544955798,3820.9612281881273
364,1331.9254717034871,3523.726012483239
365,1239.8657414603035,3516.523919276893
366,1337.0089748504117,3792.079402729869
367,1261.4499261144583,3719.791641049087
368,1244.35139078788,3659.1293573975563
369,1290.8791967296697,3710.147069820203
370,1240.4282196648787,3816.6446932703257
371,1205.7788430080523,3570.6264136563987
372,1201.0248212002498,3691.400728125125
373,1245.4948604916694,3727.1160750091076
374,1329.9061737090515,3915.6697000321
375,1234.3290860222623,3846.511581271887
376,1337.954411178731,3537.2538755349815
377,1302.4035910815974,3748.551294643432
378,1099.2515721053242,3611.5105472542346
379,1175.063370761943,3725.3228556280956
380,1246.132614948583,3803.0911931637675
381,1170.4939706894827,3774.4837176576257
382,1131.8648001315232,3867.9278852194548
383,1211.7598642937633,3810.3081339318305
384,1175.0178886584335,3936.6740667531267
385,1150.5267590236451,3535.8119881376624
386,1226.8511197317941,3690.5077645136043
387,1133.3255423250757,3472.726696524769
388,1077.7906246280045,3438.694197382778
389,1087.6055814523297,3765.0319139454514
390,1133.9199338320586,3938.135963115841
391,1119.072482561584,3987.2988337427378
392,1199.7542264165536,3366.15680129081
393,1185.8117506628619,4002.077863227576
394,1164.560786507668,4034.891367550008
395,1129.818219444655,3710.8450129777193
396,1236.8278410975583,3824.919106112793
397,1195.2647328436465,3924.068840882741
398,1225.8062106624502,3988.8283615894616
399,1260.5628169948525,3621.8035981804132
400,1057.5983477538844,3632.9002117877826
401,1021.0261971700554,3539.739898356609
402,1166.73311265792,3786.5811985582113
403,1171.2248218655272,3809.731743454933
404,1289.4772679657995,3831.890289630741
405,1204.3074668016898,3675.573146007955
406,1235.382438225652,3682.2116195186973
407,1133.183346644571,3665.7844905741513
408,1163.0474199873008,4043.2555750980973
409,1181.7374467416782,3923.577894549817
410,1159.0732660795497,3941.6369814453647
411,1232.9718073124245,3929.668859981466
412,1150.8576601645086,3879.0096387267113
413,1157.6427802853611,3717.1026466917247
414,1090.9311884115925,4015.823065714445
415,1169.1994051710635,3947.091862734407
416,1134.1540526490476,3933.3776790089905
417,1136.152863797072,3892.8089209441096
418,1141.2956703854875,3793.082278580405
419,1138.798751746283,3968.3619021445047
420,1085.6341545696787,3656.790983946994
421,1153.238840985192,3676.529066592455
422,1184.7435204305232,3877.0273080598563
423,1203.4135855150087,3827.16981408
424,1237.4985474088578,3874.4051839001477
425,1241.7508593543196,3950.0853872784646
426,1164.0706189492103,3965.909202702809
427,1202.2600730887234,3685.4975480511785
428,1195.5804421802804,3841.833294804208
429,1196.9667289370195,3895.80491284281
