episode,mujoco_steps,brax_steps
0,1000,76
1,1000,37
2,1000,274
3,1000,36
4,1000,43
5,1000,64
6,1000,35
7,1000,53
8,1000,10
9,1000,87
10,1000,44
11,1000,65
12,1000,18
13,1000,40
14,67,57
15,1000,82
16,1000,68
17,1000,48
18,1000,104
19,137,113
20,1000,29
21,1000,41
22,1000,74
23,1000,31
24,561,38
25,1000,96
26,1000,66
27,1000,15
28,1000,43
29,1000,17
30,1000,66
31,347,121
32,1000,41
33,1000,34
34,1000,33
35,1000,24
36,1000,11
37,1000,85
38,1000,280
39,1000,199
40,169,212
41,1000,67
42,1000,46
43,1000,187
44,1000,216
45,1000,68
46,1000,168
47,1000,171
48,1000,121
49,1000,21
50,1000,123
51,1000,364
52,1000,81
53,1000,48
54,1000,28
55,1000,65
56,1000,111
57,1000,58
58,1000,306
59,1000,92
60,773,112
61,1000,25
62,575,269
63,1000,42
64,1000,236
65,1000,175
66,1000,37
67,1000,233
68,1000,43
69,1000,16
70,1000,43
71,1000,113
72,1000,207
73,1000,82
74,1000,46
75,1000,50
76,1000,610
77,1000,183
78,285,265
79,747,113
80,1000,68
81,1000,141
82,1000,85
83,161,365
84,1000,110
85,1000,235
86,1000,85
87,1000,92
88,1000,204
89,1000,389
90,1000,632
91,922,315
92,1000,163
93,710,29
94,1000,69
95,1000,406
96,986,170
97,1000,256
98,960,149
99,1000,302
100,1000,1000
101,1000,84
102,1000,79
103,1000,134
104,1000,534
105,1000,1000
106,1000,1000
107,1000,141
108,1000,595
109,1000,894
110,1000,383
111,1000,704
112,1000,160
113,219,1000
114,25,1000
115,1000,1000
116,567,1000
117,262,834
118,395,1000
119,336,794
120,1000,1000
121,1000,1000
122,1000,1000
123,1000,320
124,401,520
125,1000,766
126,555,933
127,429,1000
128,1000,509
129,1000,741
130,1000,1000
131,1000,1000
132,1000,337
133,1000,769
134,1000,1000
135,189,29
136,263,235
137,1000,1000
138,1000,302
139,114,1000
140,1000,1000
141,253,372
142,1000,455
143,1000,794
144,1000,1000
145,1000,1000
146,1000,1000
147,144,125
148,443,353
149,136,135
150,1000,1000
151,485,1000
152,1000,1000
153,112,262
154,1000,688
155,838,1000
156,302,385
157,1000,1000
158,1000,187
159,1000,1000
160,1000,701
161,1000,115
162,1000,506
163,432,133
164,1000,748
165,1000,192
166,532,62
167,1000,1000
168,1000,624
169,1000,943
170,303,252
171,195,136
172,1000,1000
173,1000,137
174,99,569
175,129,521
176,270,784
177,450,1000
178,1000,482
179,49,132
180,465,68
181,1000,1000
182,192,692
183,1000,1000
184,264,1000
185,1000,183
186,190,857
187,668,364
188,1000,715
189,91,88
190,919,637
191,121,285
192,1000,533
193,62,30
194,27,247
195,233,329
196,1000,1000
197,1000,164
198,124,75
199,582,636
200,390,268
201,1000,686
202,1000,1000
203,875,110
204,165,128
205,290,575
206,1000,60
207,1000,864
208,181,33
209,737,310
210,615,360
211,593,369
212,116,500
213,1000,665
214,1000,1000
215,610,203
216,1000,576
217,1000,155
218,1000,281
219,50,1000
220,948,472
221,103,23
222,475,590
223,1000,1000
224,1000,1000
225,165,237
226,404,209
227,1000,1000
228,132,311
229,58,117
230,432,58
231,29,98
232,65,262
233,86,146
234,44,793
235,44,696
236,233,411
237,1000,1000
238,175,58
239,275,108
240,265,1000
241,1000,89
242,1000,432
243,1000,283
244,1000,357
245,476,126
246,1000,1000
247,1000,512
248,1000,97
249,124,35
250,122,92
251,1000,57
252,1000,292
253,522,185
254,63,865
255,1000,134
256,1000,1000
257,932,394
258,464,1000
259,1000,294
260,173,722
261,571,490
262,1000,166
263,344,1000
264,259,1000
265,669,320
266,390,209
267,1000,529
268,1000,225
269,1000,321
270,41,71
271,1000,16
272,555,1000
273,1000,757
274,351,406
275,63,162
276,771,788
277,509,421
278,1000,51
279,510,32
280,1000,330
281,740,112
282,588,1000
283,67,219
284,1000,83
285,596,52
286,532,155
287,70,187
288,1000,393
289,77,289
290,1000,975
291,1000,170
292,1000,134
293,136,241
294,1000,1000
295,1000,60
296,1000,306
297,1000,55
298,1000,173
299,227,878
300,1000,1000
301,739,438
302,1000,1000
303,215,32
304,198,518
305,930,162
306,1000,85
307,1000,13
308,1000,448
309,1000,1000
310,1000,212
311,956,90
312,418,209
313,191,1000
314,1000,126
315,1000,788
316,1000,624
317,106,29
318,1000,334
319,287,391
320,1000,19
321,371,1000
322,1000,1000
323,822,286
324,1000,175
325,1000,432
326,21,149
327,1000,1000
328,392,1000
329,454,90
330,1000,1000
331,940,168
332,647,45
333,791,1000
334,794,620
335,1000,460
336,574,107
337,181,1000
338,455,24
339,1000,304
340,12,1000
341,1000,699
342,15,120
343,1000,20
344,324,188
345,142,157
346,1000,1000
347,318,118
348,824,469
349,581,47
350,218,1000
351,220,1000
352,163,18
353,1000,170
354,1000,1000
355,994,755
356,1000,172
357,1000,82
358,1000,1000
359,1000,1000
360,524,158
361,737,227
362,1000,24
363,549,419
364,538,1000
365,1000,325
366,655,1000
367,230,1000
368,196,77
369,1000,653
370,189,1000
371,1000,463
372,346,720
373,258,409
374,1000,1000
