episode,instance_0_reward,instance_1_reward
0,-8.439741834771954,47.646543602560996
1,-10.615185120658147,48.5879139003664
2,-7.632993542081931,46.23009540032308
3,-12.136455300242945,47.4975348621374
4,-9.3152601890194,42.964612687523186
5,-7.34751234879431,46.854411666591204
6,-6.001209633807191,49.38938116551617
7,-10.983410300548899,48.89575921315554
8,-161.89137003584835,-658.6449950752431
9,-110.69805904732289,-891.4062012684299
10,-209.72361330263195,-251.4063674115023
11,-168.52712744097508,-142.65024384329445
12,-88.69093743632725,-241.921441604733
13,131.91801677283382,-194.406993581586
14,136.59267360397394,-134.0647888382664
15,381.2440895752842,-401.2521101947641
16,388.59819262725796,-293.2692975162063
17,363.6069004947099,-468.98347869468853
18,636.3122348664754,-503.76020963903284
19,784.2905451206175,-619.3572176133748
20,754.1051184251272,-630.8838066012249
21,778.9396321264262,-319.43877827652614
22,930.7888660010246,-618.422873574309
23,888.158501489804,-476.856684902712
24,762.4392174647351,-276.06472486199345
25,-217.80460108153358,-361.3320707567036
26,1017.5896594030523,-502.9464640399674
27,-164.33303277207304,-286.5928265640978
28,-160.8451086698613,-393.2520593719091
29,-65.19287933130765,-277.1401964582328
30,-96.80376162079845,-130.81962756620487
31,0.4361348968277632,-135.27258495874776
32,74.79973809952955,-335.1199853566941
33,887.1889552013243,-271.178216773842
34,54.595503342610264,-224.51930221775547
35,340.1274822098833,-193.48970357238431
36,1155.0855613910105,-88.85971458791755
37,1144.836148535398,-299.6349609256722
38,160.0145069946388,-97.28332331881393
39,1067.2575954952836,-311.7066867647227
40,251.34736874398442,-26.736901292926632
41,1191.9892439714852,-78.8384225742193
42,1324.5610013672026,-165.41305174225272
43,812.7072859809795,65.31895780970808
44,1173.0360674095282,77.83773874191684
45,1289.7146659200441,120.77544606098672
46,573.0758496017645,155.25543923460646
47,1280.3550302946514,193.28271969029447
48,1375.9327489922289,169.37936246336903
49,1521.065244243154,-105.90258073608857
50,862.4485551168309,402.21450240700506
51,1338.702806900957,-108.07507861280465
52,1480.4675375434417,383.6756601528032
53,1685.1460677229575,409.821279105352
54,1413.4915238722892,450.6621121254284
55,1586.4217947603272,502.6611267335247
56,770.780878475158,392.64756199848125
57,1546.4518557785373,761.3262371467426
58,1099.3737394600676,435.1129465607228
59,1695.2771836728584,782.6422102509532
60,477.58817585874624,732.8233219208196
