step,mujoco_step_times,brax_step_times
104,6.794929504394531e-05,
105,6.4849853515625e-05,
106,6.699562072753906e-05,
107,6.318092346191406e-05,
108,6.413459777832031e-05,
109,7.009506225585938e-05,
110,6.389617919921875e-05,
111,6.699562072753906e-05,
112,5.888938903808594e-05,
113,5.984306335449219e-05,
114,5.888938903808594e-05,
115,5.888938903808594e-05,
116,5.817413330078125e-05,
117,6.103515625e-05,
118,5.888938903808594e-05,
119,6.008148193359375e-05,
120,5.7697296142578125e-05,
121,5.817413330078125e-05,
122,6.008148193359375e-05,
123,5.793571472167969e-05,
124,5.91278076171875e-05,
125,5.91278076171875e-05,
126,6.031990051269531e-05,
127,5.793571472167969e-05,
128,5.888938903808594e-05,
129,5.793571472167969e-05,
130,5.793571472167969e-05,
131,5.888938903808594e-05,
132,5.984306335449219e-05,
133,5.817413330078125e-05,
134,5.91278076171875e-05,
135,5.793571472167969e-05,
136,5.793571472167969e-05,
137,5.793571472167969e-05,
138,5.793571472167969e-05,
139,5.7220458984375e-05,
140,5.984306335449219e-05,
141,5.7697296142578125e-05,
142,5.91278076171875e-05,
143,5.7220458984375e-05,
144,5.888938903808594e-05,
145,5.888938903808594e-05,
146,5.7220458984375e-05,
147,6.031990051269531e-05,
148,6.29425048828125e-05,
149,6.604194641113281e-05,
150,5.888938903808594e-05,
151,6.008148193359375e-05,
152,5.91278076171875e-05,
153,5.793571472167969e-05,
154,5.7697296142578125e-05,
155,5.817413330078125e-05,
156,5.817413330078125e-05,
157,5.6743621826171875e-05,
158,5.984306335449219e-05,
159,5.817413330078125e-05,
160,5.91278076171875e-05,
161,6.413459777832031e-05,
162,6.031990051269531e-05,
163,5.888938903808594e-05,
164,5.984306335449219e-05,
165,5.91278076171875e-05,
166,6.008148193359375e-05,
167,5.698204040527344e-05,
168,5.888938903808594e-05,
169,5.888938903808594e-05,
170,5.91278076171875e-05,
171,5.91278076171875e-05,
172,5.793571472167969e-05,
173,5.888938903808594e-05,
174,5.817413330078125e-05,
175,5.6743621826171875e-05,
176,5.7220458984375e-05,
177,5.7220458984375e-05,
178,5.7697296142578125e-05,
179,5.7220458984375e-05,
180,5.7220458984375e-05,
181,5.7697296142578125e-05,
182,5.817413330078125e-05,
183,5.698204040527344e-05,
184,5.793571472167969e-05,
185,5.793571472167969e-05,
186,5.91278076171875e-05,
187,5.888938903808594e-05,
188,5.888938903808594e-05,
189,5.817413330078125e-05,
190,5.793571472167969e-05,
191,6.198883056640625e-05,
192,5.7697296142578125e-05,
193,5.888938903808594e-05,
194,5.91278076171875e-05,
195,6.008148193359375e-05,
196,6.103515625e-05,
197,6.222724914550781e-05,
198,6.008148193359375e-05,
199,5.793571472167969e-05,
200,5.626678466796875e-05,
201,5.888938903808594e-05,
202,5.7220458984375e-05,
203,6.198883056640625e-05,
204,5.793571472167969e-05,
205,6.198883056640625e-05,
206,5.888938903808594e-05,
207,6.008148193359375e-05,
208,5.793571472167969e-05,
209,5.91278076171875e-05,
210,5.817413330078125e-05,
211,5.888938903808594e-05,
212,5.888938903808594e-05,
213,5.984306335449219e-05,
214,6.103515625e-05,
215,5.91278076171875e-05,
216,5.888938903808594e-05,
217,5.7697296142578125e-05,
218,5.91278076171875e-05,
219,6.008148193359375e-05,
220,5.7697296142578125e-05,
221,5.888938903808594e-05,
222,0.00020599365234375,
223,6.508827209472656e-05,
224,5.984306335449219e-05,
225,5.793571472167969e-05,
226,5.91278076171875e-05,
227,5.888938903808594e-05,
228,5.698204040527344e-05,
229,5.91278076171875e-05,
230,5.6743621826171875e-05,
231,5.793571472167969e-05,
232,6.031990051269531e-05,
233,5.936622619628906e-05,
234,5.888938903808594e-05,
235,5.793571472167969e-05,
236,5.793571472167969e-05,
237,5.91278076171875e-05,
238,5.984306335449219e-05,
239,5.888938903808594e-05,
240,5.984306335449219e-05,
241,6.008148193359375e-05,
242,6.008148193359375e-05,
243,5.91278076171875e-05,
244,5.888938903808594e-05,
245,6.103515625e-05,
246,5.984306335449219e-05,
247,5.817413330078125e-05,
248,5.793571472167969e-05,
249,5.817413330078125e-05,
250,5.888938903808594e-05,
251,5.793571472167969e-05,
252,5.793571472167969e-05,
253,5.817413330078125e-05,
254,5.888938903808594e-05,
255,5.7697296142578125e-05,
256,5.984306335449219e-05,
257,5.817413330078125e-05,
258,5.6743621826171875e-05,
259,5.793571472167969e-05,
260,5.7220458984375e-05,
261,6.008148193359375e-05,
262,5.793571472167969e-05,
263,6.008148193359375e-05,
264,5.817413330078125e-05,
265,5.7697296142578125e-05,
266,5.888938903808594e-05,
267,5.817413330078125e-05,
268,5.4836273193359375e-05,
269,5.602836608886719e-05,
270,5.602836608886719e-05,
271,5.507469177246094e-05,
272,5.602836608886719e-05,
273,5.507469177246094e-05,
274,5.793571472167969e-05,
275,5.4836273193359375e-05,
276,5.507469177246094e-05,
277,5.7697296142578125e-05,
278,5.7220458984375e-05,
279,5.507469177246094e-05,
280,5.7220458984375e-05,
281,5.626678466796875e-05,
282,5.793571472167969e-05,
283,5.507469177246094e-05,
284,5.6743621826171875e-05,
285,5.602836608886719e-05,
286,5.4836273193359375e-05,
287,5.507469177246094e-05,
288,5.507469177246094e-05,
289,5.507469177246094e-05,
290,5.984306335449219e-05,
291,5.7220458984375e-05,
292,5.602836608886719e-05,
293,5.602836608886719e-05,
294,5.817413330078125e-05,
295,5.5789947509765625e-05,
296,5.507469177246094e-05,
297,5.3882598876953125e-05,
298,5.91278076171875e-05,
299,6.031990051269531e-05,
300,5.4836273193359375e-05,
301,6.008148193359375e-05,
302,5.602836608886719e-05,
303,5.793571472167969e-05,
304,5.7220458984375e-05,
305,5.5789947509765625e-05,
306,5.698204040527344e-05,
307,5.817413330078125e-05,
308,5.888938903808594e-05,
309,5.602836608886719e-05,
310,5.91278076171875e-05,
311,5.6743621826171875e-05,
312,5.7220458984375e-05,
313,5.91278076171875e-05,
314,5.698204040527344e-05,
315,5.698204040527344e-05,
316,5.698204040527344e-05,
317,5.5789947509765625e-05,
318,5.507469177246094e-05,
319,5.5789947509765625e-05,
320,5.507469177246094e-05,
321,5.602836608886719e-05,
322,5.507469177246094e-05,
323,5.507469177246094e-05,
324,5.698204040527344e-05,
325,5.984306335449219e-05,
326,5.698204040527344e-05,
327,5.91278076171875e-05,
328,5.602836608886719e-05,
329,5.7220458984375e-05,
330,5.626678466796875e-05,
331,5.7697296142578125e-05,
332,5.602836608886719e-05,
333,5.602836608886719e-05,
334,5.6743621826171875e-05,
335,5.698204040527344e-05,
336,5.793571472167969e-05,
337,5.817413330078125e-05,
338,5.91278076171875e-05,
339,5.6743621826171875e-05,
340,5.602836608886719e-05,
341,5.817413330078125e-05,
342,5.602836608886719e-05,
343,5.507469177246094e-05,
344,5.5789947509765625e-05,
345,5.7220458984375e-05,
346,5.507469177246094e-05,
347,5.507469177246094e-05,
348,5.3882598876953125e-05,
349,5.602836608886719e-05,
350,5.507469177246094e-05,
351,5.4836273193359375e-05,
352,5.507469177246094e-05,
353,5.4836273193359375e-05,
354,5.602836608886719e-05,
355,5.5789947509765625e-05,
356,5.698204040527344e-05,
357,5.5789947509765625e-05,
358,5.698204040527344e-05,
359,5.507469177246094e-05,
360,5.626678466796875e-05,
361,5.698204040527344e-05,
362,5.7220458984375e-05,
363,5.5789947509765625e-05,
364,5.7220458984375e-05,
365,5.817413330078125e-05,
366,5.7697296142578125e-05,
367,5.602836608886719e-05,
368,5.7220458984375e-05,
369,5.6743621826171875e-05,
370,5.698204040527344e-05,
371,5.888938903808594e-05,
372,5.888938903808594e-05,
373,5.91278076171875e-05,
374,5.817413330078125e-05,
375,5.888938903808594e-05,
376,5.888938903808594e-05,
377,5.817413330078125e-05,
378,5.817413330078125e-05,
379,5.984306335449219e-05,
380,5.698204040527344e-05,
381,5.602836608886719e-05,
382,6.008148193359375e-05,
383,6.008148193359375e-05,
384,5.91278076171875e-05,
385,5.602836608886719e-05,
386,5.888938903808594e-05,
387,5.698204040527344e-05,
388,5.698204040527344e-05,
389,5.793571472167969e-05,
390,5.7220458984375e-05,
391,5.602836608886719e-05,
392,5.602836608886719e-05,
393,5.6743621826171875e-05,
394,5.7220458984375e-05,
395,5.698204040527344e-05,
396,5.626678466796875e-05,
397,5.793571472167969e-05,
398,5.602836608886719e-05,
399,5.91278076171875e-05,
400,5.793571472167969e-05,
401,5.984306335449219e-05,
402,5.793571472167969e-05,
403,6.079673767089844e-05,
404,5.817413330078125e-05,
405,5.793571472167969e-05,
406,5.793571472167969e-05,
407,0.00011396408081054688,
408,0.00024819374084472656,
409,7.915496826171875e-05,
410,6.890296936035156e-05,
411,6.389617919921875e-05,
412,6.103515625e-05,
413,5.984306335449219e-05,
414,6.079673767089844e-05,
415,5.698204040527344e-05,
416,5.91278076171875e-05,
417,5.817413330078125e-05,
418,5.91278076171875e-05,
419,5.698204040527344e-05,
420,5.6743621826171875e-05,
421,5.7220458984375e-05,
422,5.793571472167969e-05,
423,5.793571472167969e-05,
424,5.626678466796875e-05,
425,5.793571472167969e-05,
426,5.984306335449219e-05,
427,5.817413330078125e-05,
428,6.127357482910156e-05,
429,5.793571472167969e-05,
430,5.698204040527344e-05,
431,5.7220458984375e-05,
432,5.984306335449219e-05,
433,5.888938903808594e-05,
434,6.008148193359375e-05,
435,6.175041198730469e-05,
436,6.103515625e-05,
437,6.008148193359375e-05,
438,5.793571472167969e-05,
439,5.817413330078125e-05,
440,5.6743621826171875e-05,
441,5.91278076171875e-05,
442,6.103515625e-05,
443,5.817413330078125e-05,
444,5.5789947509765625e-05,
445,5.698204040527344e-05,
446,5.602836608886719e-05,
447,5.698204040527344e-05,
448,5.698204040527344e-05,
449,5.6743621826171875e-05,
450,5.817413330078125e-05,
451,5.698204040527344e-05,
452,0.00023484230041503906,
453,8.797645568847656e-05,
454,7.104873657226562e-05,
455,6.4849853515625e-05,
456,6.318092346191406e-05,
457,6.198883056640625e-05,
458,6.198883056640625e-05,
459,6.198883056640625e-05,
460,6.413459777832031e-05,
461,6.008148193359375e-05,
462,6.008148193359375e-05,
463,6.127357482910156e-05,
464,5.936622619628906e-05,
465,5.793571472167969e-05,
466,5.888938903808594e-05,
467,5.984306335449219e-05,
468,5.817413330078125e-05,
469,6.031990051269531e-05,
470,6.103515625e-05,
471,5.8650970458984375e-05,
472,5.793571472167969e-05,
473,0.0001819133758544922,
474,0.00022339820861816406,
475,0.0001010894775390625,
476,7.104873657226562e-05,
477,6.461143493652344e-05,
478,6.413459777832031e-05,
479,6.079673767089844e-05,
480,6.413459777832031e-05,
481,6.008148193359375e-05,
482,5.984306335449219e-05,
483,6.079673767089844e-05,
484,5.888938903808594e-05,
485,0.0009160041809082031,
486,8.702278137207031e-05,
487,6.413459777832031e-05,
488,6.771087646484375e-05,
489,8.20159912109375e-05,
490,0.00026297569274902344,
491,6.67572021484375e-05,
492,6.079673767089844e-05,
493,6.008148193359375e-05,
494,6.008148193359375e-05,
495,5.698204040527344e-05,
496,6.699562072753906e-05,
